Code CIP;Code CIP 13;Libellé produit;Stock Total;En cours de Route;Vente NOVEMBRE;Vente Mois précédent    BS;Vente Mois précédent    YD;Vente Mois précédent    BM;Vente Mois précédent    GO;Vente SEPTEMBRE;Vente AOÛT ;Vente JUILLET ;Vente JUIN ;Vente MAI;Vente Mois-AVRIL;Vente MARS;Vente FEVRIER;Vente JANVIER;Vente DECEMBRE
"1278351";"9100001278351";"AMLIBON 10MG CP/30 NF";"2907";"3648";"988";"465";"752";"217";"73";"995";"1138";"1726";"1292";"1687";"1228";"1157";"1427";"893";"1136"
"1278361";"9100001278361";"AMLIBON 5MG CP/30 NF";"170";"2016";"221";"189";"238";"32";"20";"463";"413";"299";"392";"248";"378";"332";"431";"463";"410"
"2272990";"3990000010574";"AMOXICIL SDZ 500 CP10X10   AFR";"29";"756";"73";"73";"97";"41";"40";"244";"8";"114";"138";"99";"159";"0";"42";"210";"0"
"2021733";"9100000947121";"BANEOCIN PDR FL/10G";"5";"0";"557";"697";"362";"98";"48";"1529";"1240";"5558";"3263";"1181";"0";"958";"7361";"0";"0"
"2016778";"9100000947221";"BANEOCIN POM T/20G";"36117";"6720";"9023";"2893";"922";"933";"512";"294";"564";"10405";"13210";"2403";"0";"0";"1471";"593";"6336"
"2114430";"3000000153253";"BIBLOC 10MG CP B/30";"156";"730";"102";"108";"72";"16";"8";"186";"144";"147";"143";"133";"197";"123";"126";"149";"142"
"8196899";"9100000910441";"BIBLOC 5MG CP B/30";"227";"1016";"167";"122";"123";"7";"8";"268";"243";"230";"240";"213";"217";"248";"203";"169";"326"
"1679921";"9100001679921";"BINOZYT 200MG S.BUV 15ML  11ME";"333";"140";"87";"0";"0";"0";"0";"2";"0";"1";"8";"125";"24";"79";"88";"73";"94"
"2270011";"3000001204855";"BINOZYT 500MG CP B/3";"467";"600";"105";"112";"151";"20";"8";"258";"163";"190";"169";"169";"348";"0";"0";"0";"0"
"2025300";"9100001187881";"BIODROXIL GR 250MG/5ML SP/60ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2025323";"9100001187901";"BIODROXIL 1000MG CP B/12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2025317";"9100001187891";"BIODROXIL 500MG GELU B/12";"305";"200";"25";"40";"28";"3";"2";"71";"64";"113";"60";"66";"110";"109";"94";"117";"88"
"8103395";"3990000010604";"COLESTOP 20MG CP B/30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2254934";"9100000608561";"CURAM 0,5G PDR INJ B/1";"0";"4355";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"20";"43"
"2254940";"9100000608571";"CURAM 1G PDR INJ B/1";"2";"10080";"86";"36";"549";"0";"297";"938";"265";"3395";"644";"2454";"3274";"680";"0";"384";"1622"
"8165746";"9100001048301";"CURAM 100MG ENF S.BUV FL/60ML";"1118";"4240";"390";"574";"983";"204";"143";"839";"570";"809";"145";"179";"1039";"1414";"1268";"126";"3"
"8165798";"3000000326497";"CURAM 100MG NOU S.BUV FL/30ML";"2682";"2160";"471";"380";"467";"323";"206";"764";"640";"710";"884";"1223";"1094";"1269";"1127";"1359";"1500"
"2290545";"9100000742461";"CURAM 1000/125MG SAC/12";"0";"0";"2";"160";"99";"42";"36";"454";"440";"403";"619";"586";"682";"497";"537";"526";"576"
"2264393";"9100000303811";"CURAM 1000MG CP B/10";"1005";"1200";"223";"336";"240";"42";"14";"399";"374";"532";"493";"437";"380";"468";"446";"808";"12"
"1177141";"9100001177141";"CURAM 500MG/62,5MG B/16";"672";"0";"71";"218";"101";"21";"11";"377";"104";"104";"219";"573";"345";"175";"161";"319";"334"
"778861";"9100000778861";"DOLORA 100 ID 100MG CP B/10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2276999";"3000001202103";"DOLORA 200 ID 200MG B/20";"0";"0";"0";"0";"0";"22";"0";"24";"39";"133";"132";"250";"200";"2";"94";"165";"119"
"2016206";"9100003411521";"EXODERIL CREME T/15G";"138";"1020";"153";"153";"118";"17";"5";"301";"287";"221";"237";"249";"224";"280";"271";"226";"216"
"2018352";"3000001202127";"EXODERIL SOL FL/10ML";"618";"576";"106";"104";"69";"19";"31";"354";"95";"166";"137";"605";"0";"0";"0";"0";"54"
"2297381";"3990000010710";"FLUCESS 150MG GELULE B/1";"79";"6227";"496";"262";"579";"68";"36";"924";"1195";"1273";"913";"981";"1257";"882";"886";"85";"1372"
"2297398";"3990000010727";"FLUCESS 50MG GELULE B/7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1271011";"9100001271011";"GEMCITABIN SDZ 1000MG/100ML /1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"711271";"9100000711271";"KETONAL S.INJ 100MG B/5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"711281";"9100000711281";"KETONAL SUPPO 100MG B/12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2011203";"3401020112037";"OSPAMOX 1000MG CP B/12";"0";"1800";"1";"66";"143";"2";"7";"318";"232";"235";"261";"243";"239";"248";"249";"448";"0"
"2299026";"9100000514021";"OSPAMOX 1000MG CP DISP B/12";"0";"600";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2009181";"9100006463161";"OSPAMOX 250MG GRAN SUSP 60ML";"525";"980";"175";"119";"251";"51";"16";"248";"187";"232";"246";"285";"461";"276";"378";"161";"426"
"2009152";"9100006463041";"OSPAMOX 500MG CP B/12";"61";"420";"108";"41";"38";"4";"10";"188";"40";"66";"84";"170";"0";"3";"66";"223";"68"
"514011";"9100000514011";"OSPAMOX 500MG CP DISP B/12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3132162";"3400931321620";"OSPEN 1M CP B/12";"3617";"20160";"2968";"1428";"439";"176";"45";"4017";"4103";"14972";"8";"276";"1067";"1262";"425";"4394";"5439"
"1046351";"9100001046351";"OXICEB 100MG GEL B/20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"939831";"9100000939831";"ROBESTAR 10MG CP B/30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1089921";"3000000343838";"ROBESTAR 5MG CP B/30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8150696";"9100008584281";"STARPEN 1000 CP B/12";"2401";"0";"479";"0";"0";"0";"0";"0";"0";"0";"414";"1028";"301";"394";"628";"763";"513"
"3312148";"3400933121488";"ZINNAT 250MG CP B/8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
