Code CIP;Code CIP 13;Libellé produit;Stock Total;En cours de Route;Vente NOVEMBRE;Vente Mois précédent    BS;Vente Mois précédent    YD;Vente Mois précédent    BM;Vente Mois précédent    GO;Vente SEPTEMBRE;Vente AOÛT ;Vente JUILLET ;Vente JUIN ;Vente MAI;Vente Mois-AVRIL;Vente MARS;Vente FEVRIER;Vente JANVIER;Vente DECEMBRE
"2114430";"3000000153253";"BIBLOC 10MG CP B/30";"156";"730";"102";"108";"72";"16";"8";"186";"144";"147";"143";"133";"197";"123";"126";"149";"142"
"8031810";"9100000358841";"BIOFAR ACE SE ZN CP EFF T/20";"194";"5904";"297";"366";"254";"101";"88";"1339";"0";"25";"589";"1783";"0";"240";"0";"211";"101"
"8031773";"9100000354331";"BIOFAR CALCIUM VITD3 CP EFF/20";"61";"10680";"373";"616";"610";"66";"57";"1490";"1736";"1658";"2045";"0";"0";"5";"714";"1384";"1272"
"8043167";"9100000425971";"BIOFAR CALCIUM+MAG CP EFF B/20";"162";"21240";"711";"852";"658";"346";"207";"3793";"3617";"3354";"1870";"0";"0";"1564";"2043";"3173";"187"
"8043210";"9100000426011";"BIOFAR CHROM COMPLEX EFF/20";"84";"192";"34";"15";"35";"2";"0";"2";"20";"38";"42";"14";"28";"93";"8";"4";"15"
"8043173";"9100000425981";"BIOFAR VIT B COMPLEX EFF/20";"83";"1584";"112";"106";"109";"16";"9";"332";"293";"222";"251";"10";"200";"201";"296";"230";"33"
"8031827";"9100000354321";"BIOFAR FER+AC FOLIQ CP EFF/20";"101";"600";"78";"49";"81";"18";"6";"18";"53";"114";"126";"19";"112";"102";"79";"74";"74"
"8031796";"9100000354291";"BIOFAR MAGNES+VIT B6 CP B/20";"27";"7560";"90";"522";"489";"91";"62";"156";"672";"1372";"1465";"1135";"1028";"767";"81";"922";"843"
"8010185";"9100000354281";"BIOFAR MULTI 12 MINRX CP EF/20";"482";"2760";"281";"289";"182";"27";"34";"310";"622";"554";"577";"38";"542";"602";"468";"596";"246"
"8043144";"9100000566861";"BIOFAR MULTIVIT CP EFF T/20";"66";"3336";"11";"88";"56";"28";"24";"618";"453";"599";"512";"476";"6";"286";"186";"330";"356"
"8031804";"9100000358851";"BIOFAR MULTIVIT KIDS CP EFF/20";"114";"144";"8";"16";"24";"2";"3";"39";"27";"37";"62";"5";"33";"46";"51";"58";"23"
"8043150";"9100000425961";"BIOFAR POTA+MAG CP EFF T/20";"78";"1704";"101";"111";"89";"35";"4";"198";"285";"301";"264";"13";"173";"204";"224";"234";"264"
"8031767";"9100000354311";"BIOFAR VIT C ACER 500MG EFF/20";"185";"528";"61";"61";"91";"9";"1";"43";"121";"140";"8";"0";"21";"195";"27";"151";"78"
"8043196";"9100000425991";"BIOFAR VIT C 1000 EFF/20";"2";"4728";"43";"477";"328";"32";"45";"610";"647";"846";"402";"908";"0";"0";"175";"765";"552"
"8043204";"9100000426001";"BIOFAR VIT C ZINC EFF/20";"76";"1800";"120";"134";"148";"26";"2";"215";"290";"256";"255";"216";"0";"0";"23";"323";"113"
"2297381";"3990000010710";"FLUCESS 150MG GELULE B/1";"79";"6227";"496";"262";"579";"68";"36";"924";"1195";"1273";"913";"981";"1257";"882";"886";"85";"1372"
"3340357";"3400933403577";"ZINNAT 125MG SUSP BUV FL/80ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
