fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;BAF;2299049;AMLIBON 10MG CPR B/30;0,00;0;0;46.0;11;34;54;51;39;47;19
PLANETPHARMA DISTRI UE HORS FR;BAS;2299049;AMLIBON 10MG CPR B/30;0,00;0;0;233.0;98;324;230;216;123;309;111
PLANETPHARMA DISTRI UE HORS FR;DLA;2299049;AMLIBON 10MG CPR B/30;0,00;0;1344;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;NGE;2299049;AMLIBON 10MG CPR B/30;2,60;127;0;48.0;23;80;48;37;44;70;26
PLANETPHARMA DISTRI UE HORS FR;YAO;2299049;AMLIBON 10MG CPR B/30;0,35;155;0;443.0;97;679;472;368;329;853;177
DIRECT EXPORT;BAF;3000000811801;AMLIBON 10MG CPR B/90;0,00;0;0;0.0;0;0;0;0;0;0;0
DIRECT EXPORT;BAS;3000000811801;AMLIBON 10MG CPR B/90;0,00;0;0;0.0;0;0;0;0;0;0;0
DIRECT EXPORT;DLA;3000000811801;AMLIBON 10MG CPR B/90;0,00;0;0;0.0;0;0;0;0;0;0;0
DIRECT EXPORT;NGE;3000000811801;AMLIBON 10MG CPR B/90;0,00;0;0;0.0;0;0;0;0;0;0;0
DIRECT EXPORT;YAO;3000000811801;AMLIBON 10MG CPR B/90;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BAF;2299055;AMLIBON 5MG CPR B/30;0,00;0;0;11.0;7;6;17;15;9;8;13
PLANETPHARMA DISTRI UE HORS FR;BAS;2299055;AMLIBON 5MG CPR B/30;3,34;400;0;119.0;57;135;113;134;125;110;121
PLANETPHARMA DISTRI UE HORS FR;DLA;2299055;AMLIBON 5MG CPR B/30;0,00;0;768;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;NGE;2299055;AMLIBON 5MG CPR B/30;0,22;5;0;23.0;2;24;24;15;54;27;32
PLANETPHARMA DISTRI UE HORS FR;YAO;2299055;AMLIBON 5MG CPR B/30;0,50;94;0;188.0;61;185;173;142;310;196;246
PLANETPHARMA DISTRI UE HORS FR;BAF;8004635;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;39.0;0;0;0;26;33;16;60
PLANETPHARMA DISTRI UE HORS FR;BAS;8004635;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;47.0;0;0;0;24;49;28;103
PLANETPHARMA DISTRI UE HORS FR;DLA;8004635;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;NGE;8004635;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;51.0;0;0;0;28;72;75;61
PLANETPHARMA DISTRI UE HORS FR;YAO;8004635;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;69.0;0;0;0;25;70;51;49
PLANETPHARMA DISTRI UE HORS FR;BAF;3000000882016;ANASTROZOLE NOVARTIS ACCESS 1MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BAS;3000000882016;ANASTROZOLE NOVARTIS ACCESS 1MG CPR B/30;0,00;0;0;4.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;DLA;3000000882016;ANASTROZOLE NOVARTIS ACCESS 1MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;NGE;3000000882016;ANASTROZOLE NOVARTIS ACCESS 1MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;YAO;3000000882016;ANASTROZOLE NOVARTIS ACCESS 1MG CPR B/30;0,00;0;0;3.0;0;0;0;0;0;0;-3
PLANETPHARMA DISTRI UE HORS FR;BAF;2016778;BANEOCIN POMMADE DERMIQUE T/20G;0,00;0;0;361.0;57;477;453;548;359;283;400
PLANETPHARMA DISTRI UE HORS FR;BAS;2016778;BANEOCIN POMMADE DERMIQUE T/20G;3,89;10830;0;2785.0;450;2431;2767;1993;2738;2806;2968
PLANETPHARMA DISTRI UE HORS FR;DLA;2016778;BANEOCIN POMMADE DERMIQUE T/20G;0,00;0;4872;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;NGE;2016778;BANEOCIN POMMADE DERMIQUE T/20G;0,89;1292;0;1444.0;869;903;540;388;1754;225;615
PLANETPHARMA DISTRI UE HORS FR;YAO;2016778;BANEOCIN POMMADE DERMIQUE T/20G;3,51;8688;0;2472.0;538;1685;1755;2189;3031;7501;2372
