codeArticle;libelleArticle;prix;stock;commande;venteMoisM0;venteMoisM1;venteMoisM2;venteMoisM3;venteMoyM3;venteMoyM12;
2022158;DIFLUCAN GELU 150MG BT1;4342.0;167;240;108;168;154;111;143;114;
2025263;ZITHROMAX SUSP BUV 200MG 22ML5;3772.0;42;200;2;50;78;61;43;47;
2268853;ZITHROMAX CPR 500MG BT3;5162.0;0;216;0;20;53;48;24;90;
3097187;SOLUMEDROL NECES 40MG/2ML;912.0;0;0;0;0;0;0;0;25;
3260799;ALDACTONE CPR 75MG BT20;3788.0;0;0;0;43;917;0;320;187;
3272503;ALDACTONE CPR 50MG BT20;2522.0;0;0;0;281;819;902;366;226;
3318984;MEDROL CPR  16MG BT20;2485.0;548;972;180;400;470;324;350;323;
3319392;FELDENE DISPERS CPR 20MG BT15;1968.0;608;20;66;176;119;113;120;138;
3390467;DEBRIDAT CPR 100MG BT30;2545.0;1660;1260;390;713;789;973;630;651;
3401353806399;SEBIUM GEL MOUSSANT TB 200ML;3267.0;71;0;26;11;2;0;13;15;
3401528520846;ATODERM HUILE LAVANTE 1L;7183.0;139;120;11;34;44;60;29;44;
4065278;ATODERM PP BAUME PEAUX TRES SECHES 200ML;4119.0;0;0;0;0;0;0;0;2;
5201878;SEBIUM GLOBAL SOIN PUR  TB30ML;0.0;0;0;0;0;0;0;0;8;
6135362;SEBIUM PORE REFINER 30ML;4533.0;158;0;6;4;2;3;4;14;
7094582;ATODERM CREM FL PPE     500ML;3936.0;0;0;0;0;0;0;0;40;
7228812;CREALINE H2O EAU MICELLAIRE SANS PARFUM 250ML;3641.0;55;45;30;87;5;21;40;35;
7228829;SEBIUM H2O EAU MICELLAIRE 250ML;3576.0;196;0;9;26;18;22;17;34;
7413142;SEBIUM GOMMANT 100ML;3706.0;130;0;4;16;5;1;8;13;
7564579;CREALINE H2O SANS PARFUM 500ML;0.0;0;0;0;0;0;0;0;39;
7564585;SEBIUM H2O EAU MICELLAIRE 500ML;4664.0;126;72;6;28;27;29;20;27;
8168236;SEBIUM MAT CONTROL 30ML;4165.0;93;66;14;7;0;0;7;25;
8308499;ZITHROMAX PDR SUSP 200MG 15ML;2512.0;19;200;46;138;58;58;80;55;
9537693;SEBIUM H2O EAU MICELLAIRE 100ML;0.0;0;0;0;0;0;4;0;9;
9546108;SEBIUM PAIN NETT PURIF    100G;2939.0;20;0;3;7;0;2;3;3;
9937292;ATODERM GEL DOUCHE 1L;5661.0;90;198;154;55;72;234;93;77;
9937317;ATODERM PP GEL MOUSS TB 200ML;0.0;0;0;0;0;0;0;0;2;
9945883;ATODERM CREM SS ETUI TB 200ML;0.0;0;0;0;0;0;0;0;3;
