codeArticle;libelleArticle;prix;stock;commande;venteMoisM0;venteMoisM1;venteMoisM2;venteMoisM3;venteMoyM3;venteMoyM12;
2472830;PROSTALEN 10MG CPR BT30;3936.0;1376;120;232;463;373;383;356;350;
2472834;VERZOL SUSP BUV BT20 SACH10ML;9183.0;186;10;157;65;87;56;103;70;
2475721;CARDIOVALAM H CPR BT30;6560.0;2366;0;259;513;524;468;432;474;
2477205;CARBOSOL COLLY 0PC5 10ML;787.0;310;300;42;86;105;57;77;78;
2478880;CLOMILEN CPR 50MG BT10;997.0;108;10;17;35;23;14;25;16;
2478882;FLUOXINE CPR 750MG BT10;1480.0;73;0;18;13;21;14;17;18;
2479144;FLUCAZOL 200 STICKPACK BT20;6166.0;99;0;1;0;0;0;0;0;
2481131;FLUCAZOL 150 STICK PACK BT 20;4985.0;197;0;3;0;0;0;1;2;
2481132;IXINE 200MG CPR BT 10;1771.0;2553;60;94;271;139;0;168;246;
2481134;IXINE 40MG FL 40ML;1312.0;387;1;22;25;63;84;36;41;
2481135;IXINE 100MG FL 40ML;1640.0;738;0;29;39;97;97;55;56;
2484553;PREGABANEURINE 75MG GELU BT 30;3674.0;133;250;4;26;24;21;18;23;
2485605;FLUOXINE T 500MG/600MG CPR B10;1190.0;405;0;29;23;35;5;29;7;
8313307;MALOXINE QT CP 50X3;15743.0;205;50;25;85;71;78;60;50;
8313342;VERZOL CPR 400MG BT1;459.0;21053;0;4327;5880;4717;4676;4974;5305;
8313359;VERZOL 400MG SUSP BUV BT1;459.0;13686;4000;3861;5301;4598;3714;4586;4449;
8313365;TINAZOL CPR 500MG BT4;597.0;1100;1500;225;583;860;457;556;506;
8321471;MALOXINE CPR BLIST3;285.0;84;0;51;433;427;137;303;250;
8324564;DOXY CPR 200MG BT8;1115.0;12165;5000;4768;6001;5071;4304;5280;4950;
8330079;MICOZAL CREM DERM 2PC TB15G;840.0;1400;1120;468;752;618;550;612;548;
8334189;FLOXSOL COLLY FL5ML;531.0;2745;0;299;568;589;200;485;440;
8334195;CROMSOL COLLY FL5ML;531.0;3278;1200;466;935;967;356;789;760;
8334203;TIMOSOL COLLY FL5ML;531.0;1913;1300;451;834;1035;581;773;607;
8337590;FERCEFOL CPR 30MG        BT30;833.0;3438;3500;911;1468;1172;1265;1183;1467;
8337609;FERCEFOL SUSP         FL150ML;912.0;8546;13800;4256;6690;5107;3614;5351;4846;
8353809;METRONID QT SUSP 125MG 100ML;531.0;12642;1200;1675;3634;2081;2413;2463;3182;
8353991;GENTASOL COLLY 5ML BT1;558.0;0;14400;12;4715;7785;1506;4170;2046;
8354022;METRONID QT CP 500MG BL10;209.0;773;0;546;1104;1196;1219;948;1018;
8362814;METRONID QT CPR 500MG BL10X50;10495.0;2290;600;377;609;612;644;532;568;
8364173;FEBRILEX+ SP 150ML;794.0;2095;2200;3197;4202;1745;1634;3048;1965;
8366700;CARDIURINE CPR BT30;1961.0;2999;1000;645;977;798;874;806;891;
8366717;CLOFAINS CPR BT10;459.0;2335;1750;629;1404;179;885;737;898;
8367438;FLUOXINE CPR 500MG BT10;1115.0;1923;500;307;421;572;435;433;401;
8371061;FLUCAZOL GELU 100MG BT10;1227.0;5114;2000;1023;1554;1528;1904;1368;1436;
8371078;FLUCAZOL PDR 50MG/5ML FL60ML;1227.0;5604;3400;1217;2023;2241;1836;1827;1800;
8400503;NEOMDEXSOL SOL OPHT FL 5 ML;531.0;2526;200;581;679;624;392;628;596;
8400526;DIFENASOL SOL OPHT FL 5 ML;531.0;31;4800;1181;1900;1380;954;1487;910;
8405854;ANTALGEX T GELU BT20;938.0;30127;20000;7689;13050;14048;9289;11595;10413;
8407698;FEBRILEX CPR 50X4;10003.0;1558;800;558;778;855;479;730;535;
8408120;FLEXDOL CPR BT10;938.0;1314;500;363;461;417;461;413;450;
8418331;GASTRICID CPR 50 BLISTERS DE 4;15087.0;302;0;38;51;72;47;53;60;
8514106;FEBRILEX J SP 125MG/1MG F150ML;813.0;15670;6000;5066;7006;6272;8086;6114;4759;
8616309;EXXIB CPR 200MG BT10;1312.0;3783;2000;1632;2154;1637;1466;1807;1526;
