TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;PROMONOVA-BIOFAR

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
8043167;BIOFAR CA + MG CPR EFF B/20;1353;2335;3042;M;5520;2192;3056;2594;2548;2975;2966;16331;
8031773;BIOFAR CA + VIT D3 CP EFF B/20;1372;2320;544;M;384;185;231;270;203;345;356;1590;
8043210;BIOFAR CHROME COMPLEX CPR EFF B/20;1597;2560;83;M;216;67;141;134;103;89;73;607;
8031827;BIOFAR FER+ACIDE FOLIQUE CPR EFF B/20;1360;2145;54;M;168;39;61;76;33;81;83;373;
8031796;BIOFAR MAGNESIUM B6 B2  CPR EFF B/20;1504;2594;1082;M;0;611;556;573;732;638;581;3691;
8043144;BIOFAR MULTIVIT 12 FLAVO CPR EFF T/20;1385;2357;1129;M;0;439;546;446;699;567;737;3434;
8031804;BIOFAR MULTIVIT KIDS  CPR EFF B/20;1409;2384;149;M;144;59;106;98;68;128;89;548;
8010185;BIOFAR MULTIVIT MINERAUX CPR EFF T/20;1616;2773;1119;M;1320;521;789;856;815;356;1090;4427;
8043150;BIOFAR POTASSIUM+MAGNESIUM CPR EFF B/20;1353;2316;62;M;432;58;96;120;210;133;121;738;
8031810;BIOFAR VIT ACE SELENIUM ZN  CPR EFF B/20;1703;2755;2188;M;4512;625;1484;1302;0;4916;0;8327;
8043196;BIOFAR VITAMINE C  1000MG CPR EFF B/20;1447;2419;1570;M;1104;636;943;888;745;951;1248;5411;
8031767;BIOFAR VITAMINE C 500MG CPR EFF B/20;1404;2368;278;M;264;90;150;109;152;255;167;923;
8043173;BIOFAR VITAMINES B COMPLEX;1441;2449;56;M;216;109;117;121;58;95;71;571;
8043204;BIOFAR ZINC ORGANIQUE CPR EFF B/20;1628;2750;861;M;552;358;502;400;385;723;521;2889;
