TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;SONEPROPHAR

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
8090445;ANTALGEX T GEL  B/20;936;1306;4094;M;43500;6136;11265;16706;9110;11100;11959;66276;
1477651;CARBOSOL 0,5% COLLYRE F/10ML B/1;786;1095;0;M;300;0;0;0;0;0;0;0;
3000000720202;CARDIOVALAM H 10/160/25MG CPRPELL B/30;6563;9121;0;M;1000;3;374;348;78;355;358;1516;
2299888;CARDIURINE CPR B/30;2059;2728;1037;M;3500;455;1102;954;954;1887;976;6328;
3000000135273;CLOFAINS 500MG/50MG CPR B/10;461;641;1250;L;0;554;1275;1507;1239;1763;1239;7577;
5101701;CLOMILEN 50MG CPR B/10;999;1386;136;M;0;13;17;41;42;33;23;169;
2266044;CROMSOL 2% COLL F/5ML;531;738;0;M;3600;0;0;0;0;0;0;0;
8073961;DIFENASOL COLL F/5ML;531;738;0;M;1600;0;0;0;0;0;23;23;
3000000153444;DOLOSPAM CPR PELL B/10;866;1202;0;M;0;0;0;0;0;0;0;0;
3000000390221;DOXY 200MG CPR B/8;1116;1552;-1;M;21500;881;4759;4913;4549;6403;4509;26014;
3000000462775;EXXIB 200MG CPR B/10;1310;1824;0;M;6000;33;1656;1860;1488;1026;1442;7505;
3000000327142;FEBRILEX 125MG/1MG/5ML JR SP F/150ML;811;1127;0;M;23700;0;59;8807;3886;5409;3809;21970;
4866235;FEBRILEX CPR POCH/4 BL/20;4001;5563;0;M;0;0;0;0;0;0;0;0;
3000000072363;FEBRILEX CPR POCH/4 BL/50;10006;13920;23;M;2000;318;0;147;586;651;539;2241;
2294968;FEBRILEX+ SP F/150ML;792;1102;0;M;6200;441;2374;1854;63;1563;1607;7902;
3000000674352;FERCEFOL CPR B/30;833;1155;2406;L;0;713;1805;1868;1604;2233;1569;9792;
3000000674369;FERCEFOL SP F/150ML;911;1268;9434;L;0;4405;8595;11715;7646;10294;8786;51441;
3000000044155;FLEXDOL CPR B/10;936;1305;27;M;1500;268;447;474;405;518;317;2429;
2266475;FLOXSOL 0,3% COLL F/5ML;531;738;0;M;4000;0;0;0;0;0;0;0;
2291823;FLUCAZOL 100MG GEL B/10;1229;1709;565;M;3000;941;1379;1730;164;1379;1222;6815;
