TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;PROMONOVA-LABELL

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
3000000635315;CANNES ANGLAISES ENF COULEUR PAIRE/1;15572;26472;0;M;10;0;0;0;0;0;0;0;
3000000635308;CANNES ANGLAISES LABELL ADULTE PAIRE/1;8436;14341;0;M;10;0;0;0;0;0;0;0;
3000000411711;CATHETER SAFETY UBI ONE IV 20G ROSE/1 REF CATH193;337;498;225;M;500;33;19;26;153;151;134;516;
3000000411704;CATHETER SAFETY UBI ONE IV 22G BLEU/1 REF CATH192;337;498;594;M;0;106;161;129;164;47;247;854;
3000000386910;CATHETER SAFETY UBI ONE IV 24G JAUNE /1 REF CATH191;337;498;311;M;500;209;394;201;35;347;341;1527;
8255768;COLLEC URINE LABELL 2L SACH/1;275;485;0;M;2000;0;806;446;477;249;272;2250;
3664666748583;COMPRES NON-TISSE STER LABELL10X10/20;656;1115;0;M;40;0;0;0;0;0;0;0;
3664666748781;COMPRES NON-TISSE STER LABELL5X5/20;374;636;0;M;40;0;0;0;0;0;0;0;
3664666748873;COMPRES NON-TISSE STER LABELL7,5X7,5/20;485;825;0;M;40;0;0;0;0;0;0;0;
3664666000520;SPARADRAP EXT UBIFIX 10CM X 2M B/1 REF UBIF100;643;873;776;M;1380;414;618;992;133;1007;517;3681;
3000000697122;TENSIOMETRE BRAS LABELL /1;11807;20072;0;M;24;0;0;0;0;0;0;0;
8285717;TENSIOMETRE POIGNET LABELL/1;9183;13402;95;M;0;14;25;13;26;44;26;148;
8271951;TEST GROSSESSE UBI TEST BANDELETTES B/20;3344;4707;65;M;0;21;15;13;26;27;25;127;
3000000412831;TEST GROSSESSE UBI TEST MIDSTREAM B/1;668;952;16;M;300;17;161;143;53;57;110;541;
8214806;EPICRAN 5/10 25G ORAN LABELL/1;75;113;961;M;0;141;237;59;28;185;466;1116;
2265470;BANDE CREP LABELL CELLO 4MX10;424;691;822;M;8400;1842;3610;3471;2729;2651;1632;15935;
8204759;BANDE CREP LABELL CELLO 4MX15;624;1071;2051;M;1800;621;1207;1247;1105;1054;1223;6457;
8204831;BANDE CREP LABELL ETUI 4MX20;999;1613;203;M;240;42;115;195;170;93;193;808;
8204720;BANDE CREP.LABELL CELLO 4MX5CM;231;396;2574;M;2700;859;1871;1596;1560;1688;1976;9550;
8204736;BANDE CREP.LABELL CELLO 4MX7CM;312;536;2442;M;3300;1250;2156;1662;1656;1508;2471;10703;
9991188;BANDE CREPE LABELL CELLO 4MX20;2952;4105;0;M;0;0;0;0;0;0;0;0;
8204825;BANDE CREPE LABELL ETUI 4MX15;755;1106;296;M;480;92;339;193;95;223;145;1087;
8204794;BANDE CREPE LABELL ETUI 4MX5;268;404;385;M;600;35;217;23;232;260;242;1009;
8204802;BANDE CREPE LABELL ETUI 4MX7;349;538;494;M;600;157;395;379;337;86;290;1644;
8204883;BANDE GAZE LABELL 3MX5CM P/10;1116;1921;9;M;48;0;21;16;3;3;10;53;
8204890;BANDE GAZE LABELL 3MX7CM P/10;1229;1714;9;M;30;1;12;14;10;4;11;52;
8204713;BANDE GAZE LABELL 5MX10CM P/10;1010;1520;0;M;0;0;0;0;0;0;0;0;
8204877;BANDE NYL EXT LABELL CELLO 3MX10;112;172;61;M;0;29;32;11;31;10;22;135;
8204854;BANDE NYL EXT LABELL CELLO 3MX5;68;103;70;M;60;0;62;31;53;27;11;184;
8204860;BANDE NYL EXT LABELL CELLO 3MX7;93;127;115;M;0;3;6;11;40;14;6;80;
8270779;BANDE OUATE SYNTH LABELL 2,7MX10CM;409;592;242;M;0;38;16;38;81;69;62;304;
8255751;BANDE PLATREE LABELL 2MX20CM;561;885;0;M;180;0;0;38;78;21;41;178;
8245617;BICARBONATE SODIUM B/250G;461;739;6748;M;11910;3120;5324;5833;5076;5901;4951;30205;
8276523;CATHETER UBI ONE IV 18G 45MM VERT/1;268;397;135;M;100;1;53;45;39;50;62;250;
8276546;CATHETER UBI ONE IV 20G 32MM ROSE/1;268;384;180;M;155;150;190;148;135;152;190;965;
8276552;CATHETER UBI ONE IV 22G 25MM BLEU/1;268;389;1247;M;0;156;368;191;484;441;501;2141;
8276569;CATHETER UBI ONE IV 24G 19MM JAUNE/1;268;399;1944;M;0;209;386;233;246;602;719;2395;
8212010;COMPRESS PUR LABELL 20X20 P100;1073;1562;44;M;48;10;14;12;24;25;25;110;
8211950;COMPRESS PUR LABELL 20X20 PQ10;168;305;1188;M;2040;570;911;901;967;864;906;5119;
8211966;COMPRESS PUR LABELL 30X30 PQ10;281;480;2742;M;2760;696;1200;1783;1474;1227;1493;7873;
8212032;COMPRESS PUR LABELL 40X40 P100;3731;5539;305;M;1248;159;406;387;110;386;281;1729;
8211972;COMPRESS PUR LABELL 40X40 PQ10;461;713;6516;M;14760;3174;5728;6611;5898;6034;5175;32620;
8211989;COMPRESS STER.LABELL 20X20/10;305;479;1534;M;2220;323;745;1085;1077;903;782;4915;
8211995;COMPRESS STER.LABELL 30X30/10;449;693;2682;M;0;494;956;855;1022;980;1224;5531;
8212003;COMPRESS STER.LABELL 40X40/10;692;1080;18166;M;17100;4336;8500;8221;8448;10071;9085;48661;
8212575;COTON CODEX HYDRO LABELL 100G;512;877;1065;M;2000;334;754;666;988;826;866;4434;
8212581;COTON CODEX HYDRO LABELL 200G;985;1713;124;M;480;115;206;129;113;182;175;920;
8252793;COTON CODEX HYDRO LABELL 25G;200;368;3703;M;2400;826;1688;1851;1859;1650;1694;9568;
8214812;EPICRAN 6/10 23G BLEU LABELL B/1;75;122;2524;M;1800;256;0;0;1345;504;732;2837;
8214835;EPICRAN 8/10 21G VERT LABELL/1;75;120;198;M;1025;187;167;130;249;514;276;1523;
8218448;GANT CHIRUR STER LABELL T8 /20;3542;11594;0;M;0;0;0;0;0;0;0;0;
8255691;GANT EXAM LATEX LABELL 6/7 S 100;2627;4576;51;M;0;10;29;22;0;16;15;92;
8255716;GANT EXAM LATEX LABELL 7/8 M 100;2627;5795;547;M;370;51;171;190;107;376;283;1178;
8255722;GANT EXAM LATEX LABELL 8/9 L 100;2627;5715;96;M;90;6;0;0;0;71;36;113;
8277273;JERSEY TUBUL LABELL ECRU 5MX10CM SM;1990;2903;83;M;180;15;40;100;21;70;84;330;
8277296;JERSEY TUBUL LABELL ECRU 5MX15CM SM;2913;4095;1;M;240;8;67;100;40;56;37;308;
2289625;PERFUSEUR LABELL AIG 19G/1;200;338;4799;M;3840;2010;3348;2004;2487;3138;2885;15872;
8291391;SERING EMB GAVAGE 60ML B/1;210;357;0;M;400;0;0;0;0;0;0;0;
3000000405871;SERING INS UBI ONE 1ML 100UI/120;5677;9655;84;M;144;33;68;58;70;55;59;343;
3000000405864;SERING UBI ONE 3P 10ML AIG/100;5627;9568;37;M;156;55;81;54;70;94;71;425;
8276003;SERING UBI ONE 3P 2,5ML AIG100;3325;5649;125;M;0;20;14;22;25;68;42;191;
8275989;SERING UBI ONE 3P 5ML AIG/100;3824;6430;437;M;0;68;139;92;160;208;139;806;
8291161;SPARADRAP LABELL PERF 5MX10CM;1952;2900;77;M;420;103;156;197;165;96;98;815;
8291178;SPARADRAP LABELL PERF 5MX18CM;3319;4895;32;M;864;159;192;360;181;156;128;1176;
8283977;SPARADRAP LABELL PERF 5MX5CM;1155;1649;0;M;300;12;159;94;66;55;81;467;
8283954;SPARADRAP LABELL UNI 5MX1,25CM;312;441;9;M;60;0;8;17;21;10;10;66;
8283960;SPARADRAP LABELL UNI 5MX2CM;449;647;106;M;60;14;8;15;41;23;34;135;
8276492;SPECULUM STERILE UU GM/1;361;698;164;M;0;124;71;116;21;5;186;523;
8276500;SPECULUM STERILE UU PM/1;361;685;109;M;0;18;39;21;14;14;61;167;
8238675;THERMOMETRE DIGITAL LABELL/1;1129;1681;1342;M;0;188;406;372;361;446;520;2293;
8040252;TRANSFUSEUR LABELL SACH/1;249;377;263;M;1200;57;0;0;186;621;0;864;
8204819;BANDE CREPE LABELL.ETUI 4MX10;475;814;710;M;960;240;440;616;521;353;437;2607;
8212612;COTON CARDE LABELL ROULEAU 500G;2096;3400;0;M;60;9;16;20;6;10;7;68;
8212606;COTON CODEX HYDRO LABELL ROULEAU/1KG;4691;10064;11;M;0;2;1;1;2;4;7;17;
8212598;COTON CODEX HYDRO LABELL ROULEAU/500G;2495;4390;1;M;60;2;17;4;23;2;6;54;
8214829;EPICRAN 7/10 22G NOIR LABELL/1;75;116;928;M;5900;872;1201;665;1801;2174;2161;8874;
8007065;GANT CHIRUR STER LABELL T7,5/1;249;412;2911;M;2400;494;1192;1331;1402;1321;1489;7229;
8252037;GANT CHIRUR STER LABELL T7/1;249;352;666;M;150;31;500;270;132;14;82;1029;
8218017;GANT CHIRUR STER LABELL T8 /1;249;351;1398;M;400;251;594;505;420;424;1219;3413;
