fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
THETAPHARM;ABJ;7094582;ATODERM CR CORPS PS PPE/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;BKE;7094582;ATODERM CR CORPS PS PPE/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;DAL;7094582;ATODERM CR CORPS PS PPE/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;GNA;7094582;ATODERM CR CORPS PS PPE/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;MAN;7094582;ATODERM CR CORPS PS PPE/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;VRI;7094582;ATODERM CR CORPS PS PPE/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;YOP;7094582;ATODERM CR CORPS PS PPE/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;ABJ;4550499;ATODERM CR T/200ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;BKE;4550499;ATODERM CR T/200ML;0,00;0;0;1.0;0;0;0;0;1;2;5
THETAPHARM;DAL;4550499;ATODERM CR T/200ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;GNA;4550499;ATODERM CR T/200ML;0,00;0;0;0.0;0;0;0;0;0;1;0
THETAPHARM;MAN;4550499;ATODERM CR T/200ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;VRI;4550499;ATODERM CR T/200ML;0,00;0;0;0.0;0;0;0;0;0;2;0
THETAPHARM;YOP;4550499;ATODERM CR T/200ML;0,00;0;0;3.0;0;0;1;0;0;10;0
PLANETPHARMA DISTRI UE HORS FR;ABJ;3701129805343;ATODERM CR ULTRA-NOURRISSANTE F/500ML;0,00;0;1500;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3701129805343;ATODERM CR ULTRA-NOURRISSANTE F/500ML;3,38;40;0;11.0;7;14;18;61;4;0;5
PLANETPHARMA DISTRI UE HORS FR;DAL;3701129805343;ATODERM CR ULTRA-NOURRISSANTE F/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3701129805343;ATODERM CR ULTRA-NOURRISSANTE F/500ML;1,75;13;0;7.0;7;14;15;8;7;0;2
PLANETPHARMA DISTRI UE HORS FR;MAN;3701129805343;ATODERM CR ULTRA-NOURRISSANTE F/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3701129805343;ATODERM CR ULTRA-NOURRISSANTE F/500ML;12,00;33;0;2.0;14;2;8;8;6;0;1
PLANETPHARMA DISTRI UE HORS FR;YOP;3701129805343;ATODERM CR ULTRA-NOURRISSANTE F/500ML;1,89;121;0;64.0;58;102;93;230;57;1;16
PLANETPHARMA DISTRI UE HORS FR;ABJ;3401399372407;ATODERM GEL DOUCHE F/500ML;0,00;0;360;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3401399372407;ATODERM GEL DOUCHE F/500ML;0,00;0;0;0.0;8;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;DAL;3401399372407;ATODERM GEL DOUCHE F/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3401399372407;ATODERM GEL DOUCHE F/500ML;0,00;0;0;0.0;3;0;0;1;1;0;0
PLANETPHARMA DISTRI UE HORS FR;MAN;3401399372407;ATODERM GEL DOUCHE F/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3401399372407;ATODERM GEL DOUCHE F/500ML;2,00;1;0;0.0;6;0;0;0;6;0;0
PLANETPHARMA DISTRI UE HORS FR;YOP;3401399372407;ATODERM GEL DOUCHE F/500ML;10,84;28;0;2.0;59;3;0;7;21;0;0
PLANETPHARMA DISTRI UE HORS FR;ABJ;3701129810194;ATODERM HUILE DCHE F/500ML;0,00;0;288;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3701129810194;ATODERM HUILE DCHE F/500ML;0,00;0;0;0.0;8;0;0;0;2;0;0
PLANETPHARMA DISTRI UE HORS FR;DAL;3701129810194;ATODERM HUILE DCHE F/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3701129810194;ATODERM HUILE DCHE F/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;MAN;3701129810194;ATODERM HUILE DCHE F/500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3701129810194;ATODERM HUILE DCHE F/500ML;20,57;12;0;0.0;0;0;0;0;7;0;0
PLANETPHARMA DISTRI UE HORS FR;YOP;3701129810194;ATODERM HUILE DCHE F/500ML;18,22;41;0;2.0;31;0;0;11;16;0;0
PLANETPHARMA DISTRI UE HORS FR;ABJ;3401528520846;ATODERM HUILE DE DOUCHE F/1L;0,00;0;300;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3401528520846;ATODERM HUILE DE DOUCHE F/1L;16,00;4;0;0.0;8;0;0;0;3;0;0
PLANETPHARMA DISTRI UE HORS FR;DAL;3401528520846;ATODERM HUILE DE DOUCHE F/1L;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3401528520846;ATODERM HUILE DE DOUCHE F/1L;0,00;0;0;0.0;9;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;MAN;3401528520846;ATODERM HUILE DE DOUCHE F/1L;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3401528520846;ATODERM HUILE DE DOUCHE F/1L;27,00;9;0;0.0;8;0;0;0;4;0;0
PLANETPHARMA DISTRI UE HORS FR;YOP;3401528520846;ATODERM HUILE DE DOUCHE F/1L;17,79;43;0;2.0;63;0;0;0;29;0;0
THETAPHARM;ABJ;3401565359201;ATODERM INTENSIV BME APAIS VIS/CORP500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;BKE;3401565359201;ATODERM INTENSIV BME APAIS VIS/CORP500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;DAL;3401565359201;ATODERM INTENSIV BME APAIS VIS/CORP500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;GNA;3401565359201;ATODERM INTENSIV BME APAIS VIS/CORP500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;MAN;3401565359201;ATODERM INTENSIV BME APAIS VIS/CORP500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;VRI;3401565359201;ATODERM INTENSIV BME APAIS VIS/CORP500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
THETAPHARM;YOP;3401565359201;ATODERM INTENSIV BME APAIS VIS/CORP500ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;ABJ;3701129802069;ATODERM INTENSIVE BAUME T/200ML;0,00;0;285;0.0;0;0;0;0;0;0;0
