fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;ABJ;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;DAL;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;MAN;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;YOP;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;ABJ;3272503;ALDACTONE 50MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;1
PLANETPHARMA DISTRI UE HORS FR;BKE;3272503;ALDACTONE 50MG CPR B/20;3,71;3488;0;939.0;584;663;646;660;538;298;5772
PLANETPHARMA DISTRI UE HORS FR;DAL;3272503;ALDACTONE 50MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3272503;ALDACTONE 50MG CPR B/20;1,02;707;0;692.0;602;782;619;586;739;581;2958
PLANETPHARMA DISTRI UE HORS FR;MAN;3272503;ALDACTONE 50MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3272503;ALDACTONE 50MG CPR B/20;13,87;1253;0;90.0;13;51;34;2;61;11;555
PLANETPHARMA DISTRI UE HORS FR;YOP;3272503;ALDACTONE 50MG CPR B/20;3,74;11613;0;3105.0;1261;3113;1842;3196;4012;2117;13359
PLANETPHARMA DISTRI UE HORS FR;ABJ;3260799;ALDACTONE 75MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3260799;ALDACTONE 75MG CPR B/20;6,80;1508;0;221.0;202;0;0;0;0;0;376
PLANETPHARMA DISTRI UE HORS FR;DAL;3260799;ALDACTONE 75MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3260799;ALDACTONE 75MG CPR B/20;4,10;880;0;214.0;670;0;0;0;0;0;229
PLANETPHARMA DISTRI UE HORS FR;MAN;3260799;ALDACTONE 75MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3260799;ALDACTONE 75MG CPR B/20;0,23;2;0;8.0;0;0;0;0;0;0;2
PLANETPHARMA DISTRI UE HORS FR;YOP;3260799;ALDACTONE 75MG CPR B/20;6,81;0;2400;352.0;188;0;0;0;0;0;320
PLANETPHARMA DISTRI UE HORS FR;ABJ;3390467;DEBRIDAT 100MG CPR B/30;0,00;0;3060;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3390467;DEBRIDAT 100MG CPR B/30;3,18;1563;0;490.0;283;601;537;618;471;588;479
PLANETPHARMA DISTRI UE HORS FR;DAL;3390467;DEBRIDAT 100MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3390467;DEBRIDAT 100MG CPR B/30;2,05;852;0;415.0;271;486;360;521;491;347;365
PLANETPHARMA DISTRI UE HORS FR;MAN;3390467;DEBRIDAT 100MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3390467;DEBRIDAT 100MG CPR B/30;3,33;212;0;63.0;31;79;61;86;66;70;86
PLANETPHARMA DISTRI UE HORS FR;YOP;3390467;DEBRIDAT 100MG CPR B/30;4,55;2624;3960;1448.0;759;1736;1324;1686;1953;1367;1340
PLANETPHARMA DISTRI UE HORS FR;ABJ;2022158;DIFLUCAN 150MG GEL  B/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;2022158;DIFLUCAN 150MG GEL  B/1;11,17;108;0;9.0;13;14;11;8;15;8;7
PLANETPHARMA DISTRI UE HORS FR;DAL;2022158;DIFLUCAN 150MG GEL  B/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;2022158;DIFLUCAN 150MG GEL  B/1;7,62;134;0;17.0;6;16;14;17;25;8;15
PLANETPHARMA DISTRI UE HORS FR;MAN;2022158;DIFLUCAN 150MG GEL  B/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;2022158;DIFLUCAN 150MG GEL  B/1;1,51;51;0;33.0;38;58;30;33;16;42;38
PLANETPHARMA DISTRI UE HORS FR;YOP;2022158;DIFLUCAN 150MG GEL  B/1;4,73;141;1320;308.0;237;429;295;305;285;196;353
PLANETPHARMA DISTRI UE HORS FR;ABJ;3319392;FELDENE 20MG CPR DISP B/15;0,00;0;480;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3319392;FELDENE 20MG CPR DISP B/15;0,72;55;0;76.0;64;80;66;78;51;46;70
PLANETPHARMA DISTRI UE HORS FR;DAL;3319392;FELDENE 20MG CPR DISP B/15;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3319392;FELDENE 20MG CPR DISP B/15;1,79;154;0;86.0;67;108;48;83;99;63;71
PLANETPHARMA DISTRI UE HORS FR;MAN;3319392;FELDENE 20MG CPR DISP B/15;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3319392;FELDENE 20MG CPR DISP B/15;13,79;123;0;8.0;2;15;3;8;8;8;5
PLANETPHARMA DISTRI UE HORS FR;YOP;3319392;FELDENE 20MG CPR DISP B/15;2,94;361;600;327.0;183;372;269;315;338;239;349
PLANETPHARMA DISTRI UE HORS FR;ABJ;3263697;FELDENE 20MG GEL B/15;0,00;0;480;0.0;0;0;0;0;0;0;0
