fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;ABJ;2299049;AMLIBON 10MG CPR B/30;0,00;0;768;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;2299049;AMLIBON 10MG CPR B/30;2,85;126;0;44.0;16;79;35;25;76;54;17
PLANETPHARMA DISTRI UE HORS FR;DAL;2299049;AMLIBON 10MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;2299049;AMLIBON 10MG CPR B/30;0,44;26;0;58.0;36;83;56;68;48;50;60
PLANETPHARMA DISTRI UE HORS FR;MAN;2299049;AMLIBON 10MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;2299049;AMLIBON 10MG CPR B/30;16,93;103;0;6.0;0;15;4;6;9;7;1
PLANETPHARMA DISTRI UE HORS FR;YOP;2299049;AMLIBON 10MG CPR B/30;0,75;87;0;116.0;54;121;96;108;145;110;117
PLANETPHARMA DISTRI UE HORS FR;ABJ;2299055;AMLIBON 5MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;2299055;AMLIBON 5MG CPR B/30;11,34;241;0;21.0;11;19;24;22;30;16;21
PLANETPHARMA DISTRI UE HORS FR;DAL;2299055;AMLIBON 5MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;2299055;AMLIBON 5MG CPR B/30;3,84;66;0;17.0;28;11;19;25;16;12;27
PLANETPHARMA DISTRI UE HORS FR;MAN;2299055;AMLIBON 5MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;2299055;AMLIBON 5MG CPR B/30;27,45;183;0;6.0;1;9;8;1;8;4;7
PLANETPHARMA DISTRI UE HORS FR;YOP;2299055;AMLIBON 5MG CPR B/30;1,63;186;0;114.0;48;115;95;118;126;97;109
PLANETPHARMA DISTRI UE HORS FR;ABJ;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;126;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;0,43;10;0;23.0;16;16;13;10;50;24;25
PLANETPHARMA DISTRI UE HORS FR;DAL;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;1,44;41;0;28.0;8;35;11;63;9;15;17
PLANETPHARMA DISTRI UE HORS FR;MAN;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;12,00;5;0;0.0;0;0;0;2;0;0;0
PLANETPHARMA DISTRI UE HORS FR;YOP;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;10,01;177;756;93.0;181;208;150;61;46;51;61
PLANETPHARMA DISTRI UE HORS FR;ABJ;2016778;BANEOCIN POMMADE DERMIQUE T/20G;0,00;0;15792;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;2016778;BANEOCIN POMMADE DERMIQUE T/20G;1,49;4961;0;3319.0;1709;5129;2320;2261;6836;3673;3261
PLANETPHARMA DISTRI UE HORS FR;DAL;2016778;BANEOCIN POMMADE DERMIQUE T/20G;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;2016778;BANEOCIN POMMADE DERMIQUE T/20G;2,44;8789;0;3597.0;1819;5105;3009;2485;6304;3395;4360
