TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;PROMONOVA-BIOFAR

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
8043167;BIOFAR CA + MG CPR EFF B/20;1353;2335;4566;M;5520;587;3056;2594;2548;2975;2966;14726;
8031773;BIOFAR CA + VIT D3 CP EFF B/20;1372;2320;680;M;384;54;231;270;203;345;356;1459;
8043210;BIOFAR CHROME COMPLEX CPR EFF B/20;1597;2560;0;M;336;6;141;134;103;89;73;546;
8031827;BIOFAR FER+ACIDE FOLIQUE CPR EFF B/20;1360;2145;88;M;168;6;61;76;33;81;83;340;
8031796;BIOFAR MAGNESIUM B6 B2  CPR EFF B/20;1504;2594;542;M;840;227;556;573;732;638;581;3307;
8043144;BIOFAR MULTIVIT 12 FLAVO CPR EFF T/20;1385;2357;481;M;1248;109;546;446;699;567;737;3104;
8031804;BIOFAR MULTIVIT KIDS  CPR EFF B/20;1409;2384;91;M;240;16;106;98;68;128;89;505;
8010185;BIOFAR MULTIVIT MINERAUX CPR EFF T/20;1616;2773;1481;M;1320;155;789;856;815;356;1090;4061;
8043150;BIOFAR POTASSIUM+MAGNESIUM CPR EFF B/20;1353;2316;109;M;432;12;96;120;210;133;121;692;
8031810;BIOFAR VIT ACE SELENIUM ZN  CPR EFF B/20;1703;2755;2636;M;4512;193;1484;1302;0;4916;0;7895;
8043196;BIOFAR VITAMINE C  1000MG CPR EFF B/20;1447;2419;1255;M;2064;171;943;888;745;951;1248;4946;
8031767;BIOFAR VITAMINE C 500MG CPR EFF B/20;1404;2368;350;M;264;23;150;109;152;255;167;856;
8043173;BIOFAR VITAMINES B COMPLEX;1441;2449;142;M;216;24;117;121;58;95;71;486;
8043204;BIOFAR ZINC ORGANIQUE CPR EFF B/20;1628;2750;1129;M;552;90;502;400;385;723;521;2621;
