TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;PROMONOVA-SANDOZ

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
2009175;OSPAMOX 125MG GR F/60ML;597;828;0;M;0;0;0;0;0;0;0;0;
3000000153253;BIBLOC 10MG CPR PELL B/30;2296;3193;0;M;0;0;0;0;0;0;0;0;
3000000153215;BIBLOC 5MG CPR PELL B/30;1310;1824;258;M;606;36;180;216;224;230;174;1060;
2299049;AMLIBON 10MG CPR B/30;2951;4105;148;M;125;16;88;42;69;84;79;378;
2299055;AMLIBON 5MG CPR B/30;1772;2463;90;M;252;6;53;72;65;47;54;297;
3990000010574;AMOXICIL SANDOZ 500MG CPR B/100;3201;4451;0;M;0;0;0;0;0;0;0;0;
2016778;BANEOCIN POMMADE DERMIQUE T/20G;867;1204;7710;M;12264;907;6023;4672;4336;4678;6835;27451;
2021733;BANEOCIN POUDRE USAGE EXTERNEF/10G;811;1131;4031;M;3120;440;2449;2079;1821;3804;1809;12402;
2265518;BINOZYT 200MG/5ML SUSP BUV15ML;1809;2520;27;M;0;8;40;9;15;21;16;109;
2265524;BINOZYT 250MG GEL B/6;2355;3348;0;M;0;0;0;0;0;0;0;0;
2270011;BINOZYT 500MG CPR B/3;2624;3649;0;M;0;0;0;0;0;0;0;0;
3990000010611;COLESTOP 10MG CPR B/30;2952;4105;0;M;0;0;0;0;0;0;0;0;
3990000010604;COLESTOP 20MG CPR B/30;3936;5473;0;M;0;0;0;0;0;0;0;0;
3000000326497;CURAM 100/12,5MG/ML NN PDR SUSP BUV/30ML;1223;1697;3113;M;6000;295;1956;1273;1493;1306;2152;8475;
8031187;CURAM 1000MG CPR B/10;3356;4676;998;M;3800;257;1684;727;1086;1831;1306;6891;
8073027;CURAM 1000MG/125MG SACH B/12;3543;4927;900;M;440;100;440;387;381;461;444;2213;
8091634;CURAM 1G/200MG AMP INJ IV B/1;1223;1697;1794;M;1680;157;1589;435;580;1245;733;4739;
8091605;CURAM 500MG/100MG AMP INJ IV B/1;918;1276;0;M;0;0;0;0;0;0;0;0;
3000000416259;CURAM 500MG/62,5MG CPR ENR B/16;2364;3283;645;M;1500;151;789;619;522;634;585;3300;
3000000326534;CURAM100/12,5MG/ML ENF PDR SUSP BUV/60ML;2164;3010;3928;M;0;274;1630;1267;1034;116;1644;5965;
3000000594773;DESLATYNE 5MG CPR B/10;840;1167;0;M;0;0;0;0;0;0;0;0;
3990000010833;DIAGLIM 1MG CPR B/30;1522;2116.36383;0;M;0;0;0;0;0;0;0;0;
3990000010628;DIAGLIM 2MG CPR B/30;2493;3466;0;M;0;0;0;0;0;0;0;0;
3990000010635;DIAGLIM 3MG CPR B/30;3017;4195.183755;0;M;0;0;0;0;0;0;0;0;
3990000010659;DIAGLIM 4MG CPR B/30;4133;5744;0;M;0;0;0;0;0;0;0;0;
3990000010666;DIAMIN 1G CPR B/30;1179;1646;0;M;0;0;0;0;0;0;0;0;
3990000010673;DIAMIN 850MG CPR B/30;936;1302;0;M;0;0;0;0;0;0;0;0;
8001849;DICLAC 100MG SUPPO B/10;1227;1705;0;M;0;0;0;0;0;0;0;0;
8001660;DICLAC 75MG/3ML SOL INJ B/5;1181;1642;0;M;0;0;0;0;0;0;0;0;
8079202;DOLORA 200ID 200MG LM CPR B/20;4922;6850;0;M;0;0;0;8;17;8;20;53;
2016206;EXODERIL CREME TB 15G;1541;2147;2;M;362;6;128;126;72;83;114;529;
2018352;EXODERIL SOLUTION FL 10ML;1397;1947;0;M;534;0;49;118;125;92;0;384;
3990000010710;FLUCESS 150MG CPR B/1;2920;4060;0;M;460;1;104;45;80;250;77;557;
3990000010727;FLUCESS 50MG CPR B/7;6787;9440;47;M;0;2;22;5;14;9;7;59;
3377337;FORADIL 12MCG PDRE INHAL.BT30D;7216;10032;0;M;0;0;0;0;0;0;0;0;
8021622;KETONAL 100MG CPR B/20;891;1239;0;M;0;0;0;0;0;0;0;0;
8021823;KETONAL 100MG SUPPO B/12;1063;1478;0;M;0;0;0;0;0;0;0;0;
8071761;KETONAL GEL 2,5% T50G;774;1076;0;M;0;0;0;0;0;0;0;0;
3000000194232;LINEX ENF PDRE SUSP BUV SACH B/10;1641;2819;0;M;0;0;0;0;0;0;0;0;
3951609;LOPHYDINE 2MG GEL B/20;1043;1450;0;M;0;0;0;0;0;0;0;0;
3484582;MIFLASONE 200MCG PDRE INH GELB/60;3116;4334;0;M;0;0;0;0;0;0;0;0;
3565955;MIFLASONE 400MCG PDRE INH GELB/60;5563;7741;0;M;0;0;0;0;0;0;0;0;
3484553;MIFLASONE100MCG PDRE INH GEL60;1725;2397;0;M;0;0;0;0;0;0;0;0;
2011203;OSPAMOX 1000MG CPR PELL B/12;1609;2235;0;M;530;0;92;136;75;141;137;581;
2009181;OSPAMOX 250MG/5ML GR F/60ML;799;1113;309;M;560;76;296;196;159;289;197;1213;
2299032;OSPAMOX 500MG CPR DISP B/12;918;1277;0;M;0;0;0;0;0;0;0;0;
2009152;OSPAMOX 500MG CPR PELL B/12;643;894;316;M;0;15;114;79;75;117;93;493;
3400931321620;OSPEN 1MUI CPR BT 12;1378;1914;0;M;0;0;0;0;0;0;0;0;
3000000310021;OXICEB 100MG GEL B/20;2295;3191;0;M;0;0;0;0;0;0;0;0;
3000000310069;OXICEB 200MG GEL B/20;4133;5747;0;M;0;0;0;0;0;0;0;0;
3990000012424;PANOPRIST 4MG CPR B/30;3509;4880;0;M;0;0;0;0;0;0;0;0;
3990000012431;PANOPRIST 8MG CPR B/30;5433;7555;0;M;0;0;0;0;0;0;0;0;
3990000012448;PANOPRIST PLUS 2MG/0,625MG CPR B/30;2899;4032;0;M;0;0;0;0;0;0;0;0;
9999413;PANOPRIST PLUS 4MG/1.25MG CPR B/30;4251;5913;0;M;0;0;0;0;0;0;0;0;
9999330;PIPERACILLINE/TAZOBACTAM S INJ 2.25G B/1;1312;1824;0;M;0;0;0;0;0;0;0;0;
9999331;PIPERACILLINE/TAZOBACTAM S INJ 4.5G B/1;2099;2919;0;M;0;0;0;0;0;0;0;0;
3990000012578;PODOCEF 40MG/5ML FL/100ML;2342;3258;0;A;0;0;0;0;0;0;0;0;
2038260;PROBITOR 20MG GEL B/14;1708;2375;0;M;0;0;0;0;0;0;0;0;
3990000010758;RAMIZID 10MG CPR B/30;5346;7434;0;M;0;0;0;0;0;0;0;0;
3990000010772;RAMIZID 5MG CPR B/30;3542;4927;0;M;0;0;0;0;0;0;0;0;
3000000194195;ROBESTAR 10MG CPR B/30;5779;8082;0;M;0;0;0;0;0;0;0;0;
3000000343838;ROBESTAR 5MG CPR PELL B/30;3680;5117;0;M;0;0;0;0;0;0;0;0;
3990000010789;SERVIFLOX 250MG CPR B/10;1378;1916.12967;0;M;0;0;0;0;0;0;0;0;
3990000010796;SERVIFLOX 500MG CPR B/10;1837;2554;0;M;0;0;0;0;0;0;0;0;
3990000010802;SERVIFLOX 750MG CPR B/10;2171;3018.808065;0;M;0;0;0;0;0;0;1;1;
3000000349120;STARPEN 1000 B/12 COMP ENR.;1104;1532;702;M;360;18;261;459;0;1;287;1026;
3990000010819;SUPPLIN 250MG CPR BT 20;1273;1768;0;M;0;0;0;0;0;0;0;0;
3990000010826;SUPPLIN 500MG CPR BT 20;1430;1990;0;M;0;0;0;0;0;0;0;0;
2265122;TIRLOR 10MG CPR B/10;1228;1705;0;M;0;0;0;0;0;0;0;0;
