fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;ABJ;3401565549695;ACTIVOX MIEL CITRON PAST SS B/24;0,00;0;84;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3401565549695;ACTIVOX MIEL CITRON PAST SS B/24;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;DAL;3401565549695;ACTIVOX MIEL CITRON PAST SS B/24;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3401565549695;ACTIVOX MIEL CITRON PAST SS B/24;0,00;0;0;2.0;0;3;3;0;1;0;1
PLANETPHARMA DISTRI UE HORS FR;MAN;3401565549695;ACTIVOX MIEL CITRON PAST SS B/24;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3401565549695;ACTIVOX MIEL CITRON PAST SS B/24;2,28;11;0;4.0;0;8;5;5;9;7;1
PLANETPHARMA DISTRI UE HORS FR;YOP;3401565549695;ACTIVOX MIEL CITRON PAST SS B/24;4,70;117;0;24.0;1;12;42;34;19;36;18
PLANETPHARMA DISTRI UE HORS FR;ABJ;3401572628321;ARK ANANAS GEL F/45;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3401572628321;ARK ANANAS GEL F/45;0,00;4;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;DAL;3401572628321;ARK ANANAS GEL F/45;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3401572628321;ARK ANANAS GEL F/45;0,00;5;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;MAN;3401572628321;ARK ANANAS GEL F/45;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3401572628321;ARK ANANAS GEL F/45;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;YOP;3401572628321;ARK ANANAS GEL F/45;3,53;10;0;2.0;0;12;0;0;0;4;10
PLANETPHARMA DISTRI UE HORS FR;ABJ;3401545071383;ARK CRANBERRYNE GEL F/45;0,00;0;18;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3401545071383;ARK CRANBERRYNE GEL F/45;0,00;4;0;0.0;0;0;0;0;0;0;0
