fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;ABJ;8054001;ACIDE ACETYLSAL UBI 500MG CPR 100 BL 10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;8054001;ACIDE ACETYLSAL UBI 500MG CPR 100 BL 10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;DAL;8054001;ACIDE ACETYLSAL UBI 500MG CPR 100 BL 10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;8054001;ACIDE ACETYLSAL UBI 500MG CPR 100 BL 10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;MAN;8054001;ACIDE ACETYLSAL UBI 500MG CPR 100 BL 10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;8054001;ACIDE ACETYLSAL UBI 500MG CPR 100 BL 10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;YOP;8054001;ACIDE ACETYLSAL UBI 500MG CPR 100 BL 10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;ABJ;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;5,19;90;0;17.0;-3;20;15;13;26;23;26
PLANETPHARMA DISTRI UE HORS FR;DAL;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;2,72;43;0;15.0;2;23;8;10;11;25;26
PLANETPHARMA DISTRI UE HORS FR;MAN;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;321,00;107;0;0.0;0;0;0;0;2;0;1
PLANETPHARMA DISTRI UE HORS FR;YOP;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;5,55;288;0;51.0;17;51;22;29;35;63;115
