fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;ABJ;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;DAL;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;MAN;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;YOP;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;ABJ;3272503;ALDACTONE 50MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;1
PLANETPHARMA DISTRI UE HORS FR;BKE;3272503;ALDACTONE 50MG CPR B/20;4,22;3968;0;939.0;161;663;646;660;538;298;5772
PLANETPHARMA DISTRI UE HORS FR;DAL;3272503;ALDACTONE 50MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3272503;ALDACTONE 50MG CPR B/20;1,70;1175;0;692.0;135;782;619;586;739;581;2958
PLANETPHARMA DISTRI UE HORS FR;MAN;3272503;ALDACTONE 50MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3272503;ALDACTONE 50MG CPR B/20;15,71;1419;0;90.0;4;51;34;2;61;11;555
PLANETPHARMA DISTRI UE HORS FR;YOP;3272503;ALDACTONE 50MG CPR B/20;3,95;12257;0;3105.0;387;3113;1842;3196;4012;2117;13359
PLANETPHARMA DISTRI UE HORS FR;ABJ;3260799;ALDACTONE 75MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3260799;ALDACTONE 75MG CPR B/20;7,66;1700;0;221.0;71;0;0;0;0;0;376
PLANETPHARMA DISTRI UE HORS FR;DAL;3260799;ALDACTONE 75MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3260799;ALDACTONE 75MG CPR B/20;5,59;1200;0;214.0;426;0;0;0;0;0;229
PLANETPHARMA DISTRI UE HORS FR;MAN;3260799;ALDACTONE 75MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3260799;ALDACTONE 75MG CPR B/20;4,53;40;0;8.0;0;0;0;0;0;0;2
PLANETPHARMA DISTRI UE HORS FR;YOP;3260799;ALDACTONE 75MG CPR B/20;6,81;0;2400;352.0;13;0;0;0;0;0;320
PLANETPHARMA DISTRI UE HORS FR;ABJ;3390467;DEBRIDAT 100MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3390467;DEBRIDAT 100MG CPR B/30;3,67;1801;0;490.0;60;601;537;618;471;588;479
PLANETPHARMA DISTRI UE HORS FR;DAL;3390467;DEBRIDAT 100MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3390467;DEBRIDAT 100MG CPR B/30;2,06;853;0;415.0;90;486;360;521;491;347;365
PLANETPHARMA DISTRI UE HORS FR;MAN;3390467;DEBRIDAT 100MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3390467;DEBRIDAT 100MG CPR B/30;2,09;133;0;63.0;9;79;61;86;66;70;86
PLANETPHARMA DISTRI UE HORS FR;YOP;3390467;DEBRIDAT 100MG CPR B/30;5,16;3508;3960;1448.0;137;1736;1324;1686;1953;1367;1340
PLANETPHARMA DISTRI UE HORS FR;ABJ;2022158;DIFLUCAN 150MG GEL  B/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;2022158;DIFLUCAN 150MG GEL  B/1;12,31;119;0;9.0;2;14;11;8;15;8;7
PLANETPHARMA DISTRI UE HORS FR;DAL;2022158;DIFLUCAN 150MG GEL  B/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;2022158;DIFLUCAN 150MG GEL  B/1;9,04;159;0;17.0;1;16;14;17;25;8;15
PLANETPHARMA DISTRI UE HORS FR;MAN;2022158;DIFLUCAN 150MG GEL  B/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;2022158;DIFLUCAN 150MG GEL  B/1;1,77;60;0;33.0;21;58;30;33;16;42;38
PLANETPHARMA DISTRI UE HORS FR;YOP;2022158;DIFLUCAN 150MG GEL  B/1;5,24;297;1320;308.0;70;429;295;305;285;196;353
PLANETPHARMA DISTRI UE HORS FR;ABJ;3319392;FELDENE 20MG CPR DISP B/15;0,00;0;480;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3319392;FELDENE 20MG CPR DISP B/15;1,38;105;0;76.0;13;80;66;78;51;46;70
PLANETPHARMA DISTRI UE HORS FR;DAL;3319392;FELDENE 20MG CPR DISP B/15;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3319392;FELDENE 20MG CPR DISP B/15;2,45;211;0;86.0;10;108;48;83;99;63;71
PLANETPHARMA DISTRI UE HORS FR;MAN;3319392;FELDENE 20MG CPR DISP B/15;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3319392;FELDENE 20MG CPR DISP B/15;2,36;21;0;8.0;0;15;3;8;8;8;5
PLANETPHARMA DISTRI UE HORS FR;YOP;3319392;FELDENE 20MG CPR DISP B/15;3,68;604;600;327.0;45;372;269;315;338;239;349
PLANETPHARMA DISTRI UE HORS FR;ABJ;3263697;FELDENE 20MG GEL B/15;0,00;0;480;0.0;0;0;0;0;0;0;0
