fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;ABJ;2299049;AMLIBON 10MG CPR B/30;0,00;0;768;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;2299049;AMLIBON 10MG CPR B/30;3,49;154;0;44.0;8;79;35;25;76;54;17
PLANETPHARMA DISTRI UE HORS FR;DAL;2299049;AMLIBON 10MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;2299049;AMLIBON 10MG CPR B/30;0,53;31;0;58.0;11;83;56;68;48;50;60
PLANETPHARMA DISTRI UE HORS FR;MAN;2299049;AMLIBON 10MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;2299049;AMLIBON 10MG CPR B/30;1,64;10;0;6.0;0;15;4;6;9;7;1
PLANETPHARMA DISTRI UE HORS FR;YOP;2299049;AMLIBON 10MG CPR B/30;1,89;220;0;116.0;13;121;96;108;145;110;117
PLANETPHARMA DISTRI UE HORS FR;ABJ;2299055;AMLIBON 5MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;2299055;AMLIBON 5MG CPR B/30;11,72;249;0;21.0;2;19;24;22;30;16;21
PLANETPHARMA DISTRI UE HORS FR;DAL;2299055;AMLIBON 5MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;2299055;AMLIBON 5MG CPR B/30;5,01;86;0;17.0;8;11;19;25;16;12;27
PLANETPHARMA DISTRI UE HORS FR;MAN;2299055;AMLIBON 5MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;2299055;AMLIBON 5MG CPR B/30;28,05;187;0;6.0;0;9;8;1;8;4;7
PLANETPHARMA DISTRI UE HORS FR;YOP;2299055;AMLIBON 5MG CPR B/30;1,91;218;0;114.0;14;115;95;118;126;97;109
PLANETPHARMA DISTRI UE HORS FR;ABJ;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;126;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;0,51;12;0;23.0;0;16;13;10;50;24;25
PLANETPHARMA DISTRI UE HORS FR;DAL;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;1,82;52;0;28.0;2;35;11;63;9;15;17
PLANETPHARMA DISTRI UE HORS FR;MAN;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;7,20;3;0;0.0;0;0;0;2;0;0;0
PLANETPHARMA DISTRI UE HORS FR;YOP;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;10,55;227;756;93.0;16;208;150;61;46;51;61
PLANETPHARMA DISTRI UE HORS FR;ABJ;2016778;BANEOCIN POMMADE DERMIQUE T/20G;0,00;0;15792;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;2016778;BANEOCIN POMMADE DERMIQUE T/20G;0,97;3219;0;3319.0;664;5129;2320;2261;6836;3673;3261
PLANETPHARMA DISTRI UE HORS FR;DAL;2016778;BANEOCIN POMMADE DERMIQUE T/20G;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;2016778;BANEOCIN POMMADE DERMIQUE T/20G;2,81;10122;0;3597.0;486;5105;3009;2485;6304;3395;4360
PLANETPHARMA DISTRI UE HORS FR;MAN;2016778;BANEOCIN POMMADE DERMIQUE T/20G;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;VRI;2016778;BANEOCIN POMMADE DERMIQUE T/20G;7,66;1713;0;223.0;8;357;131;326;281;163;267
PLANETPHARMA DISTRI UE HORS FR;YOP;2016778;BANEOCIN POMMADE DERMIQUE T/20G;3,91;32592;0;8332.0;1481;9023;5664;8438;13715;8524;9748
PLANETPHARMA DISTRI UE HORS FR;ABJ;2021733;BANEOCIN POUDRE USAGE EXTERNE F/10G;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKE;2021733;BANEOCIN POUDRE USAGE EXTERNE F/10G;19,59;20064;0;1024.0;224;1295;715;659;1135;624;414
PLANETPHARMA DISTRI UE HORS FR;DAL;2021733;BANEOCIN POUDRE USAGE EXTERNE F/10G;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;GNA;2021733;BANEOCIN POUDRE USAGE EXTERNE F/10G;6,10;10105;0;1656.0;204;2407;1348;1282;1653;1192;1278
