TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;PROMO NOVA

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
8043167;BIOFAR CA + MG CPR EFF B/20;1351;2319;-1;M;0;0;0;0;112;825;875;1812;
8031773;BIOFAR CA + VIT D3 CP EFF B/20;1305;2228;0;M;0;0;0;88;276;236;269;869;20270531
8043210;BIOFAR CHROME COMPLEXE  CPR EFF B/20;1515;2669;0;M;0;0;0;15;22;59;7;103;
8043173;BIOFAR COMPLEX VIT B;1338;2292;-7;M;0;0;168;169;163;167;256;923;
8031827;BIOFAR FER+ACIDE FOLIQUE CPR EFF B/20;1292;2246;39;M;0;7;23;44;16;36;18;144;20271231
8031796;BIOFAR MAG+VIT B6 B2 CP B20;1305;2263;0;M;0;0;0;104;369;469;479;1421;20270731
8031804;BIOFAR MULTIVIT KIDS  CPR EFF B/20;1305;2296;0;M;0;0;0;10;12;19;13;54;20271031
8043150;BIOFAR POTASSIUM+MAGNESIUM CPR EFF B/20;1351;2303;0;M;0;0;0;-1;41;24;24;88;20280331
8031810;BIOFAR VIT ACE SELENIUM ZN  CPR EFF B/20;1581;2681;0;M;0;7;170;241;223;60;0;701;20280430
8043196;BIOFAR VITAMINE C  1000MG CPR EFF B/20;1450;2106;0;M;0;152;592;482;451;202;143;2022;20280131
8031767;BIOFAR VITAMINE C 500MG CPR EFF B/20;1338;1945;0;M;0;0;0;0;30;65;85;180;
8043204;BIOFAR ZINC VIT C CPR EFFV T/20;1509;2192;73;M;0;95;181;137;122;213;191;939;20280229
BANDE_0020;BANDE GAZE GAUZE 4.5MX10CM P12;1000;1470;0;L;0;0;0;0;0;0;0;0;
BANDE_0050;BANDE  CREPE LABELL ETUI 2.7MX7.5CM;275;400;0;M;0;0;0;0;0;0;0;0;
8204819;BANDE CREPE LABELL.ETUI 4MX10;472;686;404;M;0;138;708;0;0;0;0;846;20290930
8204825;BANDE CREPE LABELL ETUI 4MX15CM;754;1095;190;M;0;0;1365;0;0;0;0;1365;20280430
8204794;BANDE CREPE LABELL ETUI 4MX5;269;390;0;M;0;0;0;0;0;0;20;20;
8204802;BANDE CREPE LABELL ETUI 4MX7;348;505;102;M;0;86;152;0;0;31;337;606;20290930
2265470;BANDE CREP LABELL CELLO 4MX10;426;619;1695;M;0;208;1170;0;0;0;0;1378;20290831
BANDEGAZE001;BANDE GAZE GAUZE 4MX10CM P/12;1380;1690;0;L;0;0;0;0;0;0;0;0;
8204908;BANDE GAZE LABELL 3MX10CM P/10;1384;2011;244;M;0;44;48;0;0;54;130;276;20290930
8204713;BANDE GAZE LABELL 5MX10CM P/10;1010;1467;0;M;0;0;0;0;0;0;0;0;
8255751;BANDE PLATREE LABELL 2MX20CM;558;810;0;M;0;0;30;0;0;0;0;30;
8109050;CATHETER IV 20G 33MM ROSE/1 REF CATH141;269;390;0;M;0;0;774;170;50;626;287;1907;20280331
3000000411704;CATHETER IV 22G 25MM BLEU/1;269;390;0;M;0;35;1473;865;556;676;410;4015;20291130
8109073;CATHETER IV 24G 19MM JAUNE/1;269;391;17;M;0;373;1212;622;618;931;809;4565;20291130
8276517;CATHETER UBI ONE IV 16G 45MM GRIS/1;269;390;68;M;0;0;0;62;60;110;75;307;20280131
	8276523;CATHETER UBI ONE IV 18G 45MM VERT/1;269;390;915;M;0;23;58;8;41;49;2;181;20270731
COLLE_0090;COLLEC URINE LABELL STER 2L  B5;1181;1715;0;M;0;0;0;0;0;0;0;0;
3664666748583;COMPRES NON-TISSE STER LABELL 10X10/20;656;953;21;M;0;0;15;0;10;0;20;45;20280630
3664666748781;COMPRES NON-TISSE STER LABELL 5X5/20;374;545;601;M;0;0;1;10;5;0;0;16;20280229
3664666748873;COMPRESS NON TISSE STER LABELL 7.5X7.5 P20;485;705;216;M;0;10;20;0;0;3;0;33;20280630
3000000886007;COMPRESS PUR LABELL 20X20 P100;1076;1565;41;M;0;0;3;10;0;0;1;14;20270331
8212032;COMPRESS PUR LABELL 40X40 P100;2952;4290;0;M;0;0;0;0;0;0;0;0;
8211972;COMPRESS PUR LABELL 40X40 PQ10;459;667;11;M;0;84;250;0;0;0;85;419;20291231
8212003;COMPRESS STER.LABELL 40X40/10;695;1009;0;M;0;0;0;0;190;1896;1244;3330;
COMPR_0020;COMPRESS STER. TETRA 20X20 16E 5X5 B10;151;219;0;M;0;0;0;0;0;0;0;0;
8270839;COTON BOULE COULEUR LABELL/100;426;619;0;M;0;0;0;0;0;0;0;0;
8212575;COTON CODEX HYDRO LABELL 100G;512;743;0;M;0;0;600;0;47;731;753;2131;
8252793;COTON CODEX HYDRO LABELL 25G;197;286;2447;M;0;72;266;460;0;0;0;798;20290831
8212569;COTON CODEX HYDRO LABELL 50G;262;380;12886;M;0;1173;2646;0;0;0;0;3819;20291231
COTON_0110;COTON DISQUE DEMAQ LABELL P100;655;952;0;M;0;0;0;0;0;0;0;0;
1031461;EPICRAN 6/10 23G BLEU B100;7216;10483;0;L;0;14;38;14;17;19;28;130;20301031
8214835;EPICRAN 8/10 21G VERT B/100***;6540;9500;0;M;0;0;0;0;0;0;0;0;
PERFU_0010;PERFUSEUR B/25;3125;7260;0;L;0;0;128;77;49;47;-33;268;
3000000630907;PRESERV PRESA PRESENTOIR DE 12 B/3;3070;4460;0;M;0;0;0;0;0;0;0;0;
8291391;SERING EMB GAVAGE 60ML B/1;210;305;213;M;0;194;335;0;0;0;0;529;20290831
3000000405871;SERING INS UBI ONE 1ML 100UI/120;5674;8243;0;M;0;0;0;0;0;0;0;0;
8276003;SERING UBI ONE 3P 2,5ML AIG100;3326;4832;0;M;0;0;0;0;0;0;0;0;
8275989;SERING UBI ONE 3P 5ML AIG/100;3824;5555;0;M;0;0;0;0;0;0;0;0;
