TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;PROMONOVA/SANDOZ.

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
2299049;AMLIBON 10MG CP B90;7970;11578;0;M;0;0;0;0;0;0;0;0;
8063187;AMLIBON 10MG CPR B/30;2952;4285;0;M;0;0;0;0;0;0;0;0;
2016778;BANEOCIN POMMADE T/20G;866;1258;0;M;0;0;0;0;0;0;0;0;
2021733;BANEOCIN POUDRE FL/10G;813;1181;0;M;0;0;0;0;0;0;0;0;
2114430;BIBLOC CPR 10MG  B/30;2295;3334;0;M;0;3;62;79;100;12;21;277;
8196899;BIBLOC CPR 5MG B/30;1311;1904;0;M;0;124;225;192;236;13;73;863;20291231
1679921;BINOZYT 200MG/5ML SUSP BUV F/15ML;2059;2991;0;M;0;0;0;0;0;0;0;0;
2270011;BINOZYT COMP 500MG B/3 (U);2624;3812;0;M;0;0;0;0;71;188;0;259;
349341;BINOZYT GELULES 250MG B/6;2407;3495;0;M;0;0;0;0;0;0;0;0;
4013459;BIODROXIL 125MG SUSP FL/60ML;852;1240;0;M;0;0;0;0;0;0;0;0;
2025317;BIODROXIL 500MG GEL B/12;2623;3810;13;M;0;31;17;14;22;33;0;117;20270930
2025323;BIODROXIL COMP.1000MG B/12;4788;6956;0;M;0;0;0;0;0;0;0;0;
2025300;BIODROXIL SUSP 250MG/5ML F60ML;1541;2240;0;M;0;0;0;0;0;0;0;0;
3990000010611;COLESTOP 10MG CPR B/30 RUPTURE LONGUE 08.09.2023;2952;4285;0;M;0;0;0;0;0;0;0;0;
3990000010604;COLESTOP 20MG CPR B/30 RUPTURE LONGUE 08.09.2023;3936;5715;0;M;0;0;0;0;0;0;0;0;
8091634;CURAM 1000MG/125MG SACH B/12;2676;3887;0;M;0;0;0;0;0;6;50;56;
2264393;CURAM 1000MG CPR B/10;4099;5955;0;M;0;0;0;0;0;0;3;3;
3000000326534;CURAM 100/12,5MG/ML ENF PDR SUSP BUV60ML;2165;3145;0;M;0;0;435;925;885;111;0;2356;20271231
3000000326497;CURAM 100/12,5MG/ML NN PDR SUSP BUV/30ML;1220;1775;-19;M;0;0;511;882;703;283;0;2379;
8091605;CURAM 1G/200MG AMP INJ IV B/1;1528;2220;0;M;0;0;0;0;0;0;0;0;
2254934;CURAM 500MG/100MG AMP INJ IV B/1;918;1334;0;M;0;0;0;0;0;0;0;0;
8005095;CURAM 500MG COMP ENROBE B/12;4007;5820;0;M;0;0;0;0;0;0;0;0;
2016206;EXODERIL CR T/15G;1567;2276;0;M;0;0;0;0;16;31;26;73;
2018352;EXODERIL SOLUTION F/10ML;1450;2106;0;M;0;0;0;49;23;8;0;80;
2297381;FLUCESS 150MG GEL B/1;3149;4575;0;M;0;0;0;0;0;0;0;0;
2297398;FLUCESS 50MG GEL B/7;7215;10481;0;M;0;0;0;0;0;0;0;0;
2259564;KETONAL AMP INJ 100MG/2ML B/5;1967;2857;0;M;0;0;0;0;0;0;0;0;
2259535;KETONAL DUO CAPSULES 150MG B/20;2446;3553;0;M;0;0;0;0;0;0;0;0;
8021622;KETONAL FORTE CPR 100MG B/20;1115;1620;0;M;0;0;0;0;0;0;0;0;
2299026;OSPAMOX 1000MG CPR DISP B/12;1607;2334;0;M;0;0;0;0;0;0;0;0;
2011203;OSPAMOX 1000MG CPR PELL B/12;1607;2334;0;M;0;0;0;118;145;34;0;297;
2009175;OSPAMOX 125MG GR F/60ML;596;865;0;M;0;0;0;0;0;0;0;0;
2009181;OSPAMOX 250MG/5ML GR F/60ML;801;1164;0;M;0;0;29;99;70;82;0;280;
2009152;OSPAMOX 500 MG CPR DISP B/12;918;1335;0;M;0;0;0;0;0;0;0;0;
2009152;OSPAMOX 500MG CPR PELL B/12;748;1087;216;M;0;40;79;62;39;45;35;300;20280531
3132162;OSPEN 1MUI CPR BT 12;1378;2001;434;M;0;831;1205;1473;940;628;0;5077;20270228
8162587;ROBESTAR 10MG CPR B/30;5779;8395;0;A;0;0;0;0;0;0;0;0;
8162618;ROBESTAR 5MG CPR PELL B/30;3680;5345;0;A;0;0;0;0;0;0;0;0;
