Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"8031810";"9100000358841";"BIOFAR ACE SE ZN CP EFF T/20";"1522";"363";"0";"0";"0";"0";"0";"0";"150";"354";"242"
"8031773";"9100000354331";"BIOFAR CALCIUM VITD3 CP EFF/20";"0";"487";"0";"0";"0";"0";"0";"0";"74";"388";"331"
"8043167";"9100000425971";"BIOFAR CALCIUM+MAG CP EFF B/20";"831";"1520";"0";"0";"0";"0";"0";"0";"832";"1401";"1251"
"8043210";"9100000426011";"BIOFAR CHROM COMPLEX EFF/20";"16";"132";"0";"0";"0";"0";"0";"0";"38";"85";"63"
"8031827";"9100000354321";"BIOFAR FER+AC FOLIQ CP EFF/20";"112";"132";"0";"0";"0";"0";"0";"0";"56";"83";"75"
"8031796";"9100000354291";"BIOFAR MAGNES+VIT B6 CP B/20";"0";"720";"0";"0";"0";"0";"0";"0";"187";"599";"519"
"8010185";"9100000354281";"BIOFAR MULTI 12 MINRX CP EF/20";"2171";"2930";"0";"0";"0";"0";"0";"0";"1196";"2279";"2338"
"8043144";"9100000566861";"BIOFAR MULTIVIT CP EFF T/20";"287";"416";"0";"0";"0";"0";"0";"0";"202";"332";"346"
"8031804";"9100000358851";"BIOFAR MULTIVIT KIDS CP EFF/20";"94";"31";"0";"0";"0";"0";"0";"0";"18";"23";"28"
"8043150";"9100000425961";"BIOFAR POTA+MAG CP EFF T/20";"79";"89";"0";"0";"0";"0";"0";"0";"28";"56";"53"
"8043173";"9100000425981";"BIOFAR VIT B COMPLEX EFF/20";"0";"354";"0";"0";"0";"0";"0";"0";"129";"295";"264"
"8031767";"9100000354311";"BIOFAR VIT C ACER 500MG EFF/20";"80";"107";"0";"0";"0";"0";"0";"0";"62";"83";"89"
"8043204";"9100000426001";"BIOFAR VIT C ZINC EFF/20";"44";"296";"0";"0";"0";"0";"0";"0";"133";"230";"233"
"8043196";"9100000425991";"BIOFAR VIT C 1000 EFF/20";"0";"941";"0";"0";"0";"0";"0";"0";"366";"737";"701"
