Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"8204908";"9100000138421";"BANDE GAZE LABELL 3MX10CM P/10";"605";"272";"0";"0";"0";"0";"0";"0";"43";"154";"197"
"8025695";"9100000138441";"BANDE GAZE LABELL 3MX7CM P/10";"59";"60";"0";"0";"0";"0";"0";"0";"14";"47";"45"
"8255739";"9100001165461";"BANDE PLATREE LABELL 2MX10CM";"231";"9";"0";"0";"0";"0";"0";"0";"5";"21";"42"
"8255751";"9100001165471";"BANDE PLATREE LABELL 2MX20CM";"144";"151";"0";"0";"0";"0";"0";"0";"65";"144";"141"
"1185441";"3000000411711";"CATHETER SAFETY UBI IV20G R/1";"821";"359";"0";"0";"0";"0";"0";"0";"20";"120";"96"
"1185431";"3000000411704";"CATHETER SAFETY UBI IV22G B/1";"1901";"910";"0";"0";"0";"0";"0";"0";"0";"568";"482"
"1185421";"3000000411698";"CATHETER SAFETY UBI IV24G J/1";"1493";"1194";"0";"0";"0";"0";"0";"0";"103";"729";"573"
"8276517";"9100000822911";"CATHETER UBIONE IV 16G 45GRI/1";"361";"228";"0";"0";"0";"0";"0";"0";"12";"112";"81"
"8276523";"9100000822921";"CATHETER UBIONE IV 18G 45VER/1";"560";"14";"0";"0";"0";"0";"0";"0";"100";"24";"65"
"8276546";"9100000822931";"CATHETER UBIONE IV 20G 32ROS/1";"211";"407";"0";"0";"0";"0";"0";"0";"174";"428";"269"
"8276552";"3000000386927";"CATHETER UBIONE IV 22G 25BLE/1";"1807";"771";"0";"0";"0";"0";"0";"0";"220";"835";"587"
"1208211";"3000000386910";"CATHETER UBIONE IV 24G 19JAU/1";"1660";"712";"0";"0";"0";"0";"0";"0";"340";"744";"626"
"8255768";"9100001272391";"COLLEC URINE LABELL 2L SACH/1";"0";"727";"0";"0";"0";"0";"0";"0";"0";"675";"565"
"8212575";"9100000411931";"COTON CODEX HYDRO LABELL 100G";"0";"750";"0";"0";"0";"0";"0";"0";"0";"1071";"835"
"8212581";"9100000411941";"COTON CODEX HYDRO LABELL 200G";"0";"96";"0";"0";"0";"0";"0";"0";"0";"131";"98"
"8212569";"9100000411921";"COTON CODEX HYDRO LABELL 50G";"3382";"3293";"0";"0";"0";"0";"0";"0";"1247";"2933";"2801"
"8212598";"3000000886014";"COTON CODEX HYDRO LABELL 500G";"0";"48";"0";"0";"0";"0";"0";"0";"0";"51";"39"
"2289625";"9100000729331";"PERFUSEUR LABELL AIG 19G /1";"0";"1919";"0";"0";"0";"0";"0";"0";"1918";"2327";"2147"
"8040252";"9100001045221";"TRANSFUSEUR LABELL S/1";"1318";"305";"0";"0";"0";"0";"0";"0";"228";"340";"400"
