Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"3002152";"3400930021521";"ALDACTAZINE 25MG CP B/20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"114";"100"
"3260799";"3400932607990";"ALDACTONE 75MG MICRON CP/20";"100";"0";"0";"0";"0";"0";"0";"0";"6140";"0";"667"
"3390467";"3400933904678";"DEBRIDAT 100MG CP B/30";"427";"1308";"0";"0";"0";"0";"0";"0";"576";"1118";"926"
"2022158";"7445027807233";"DIFLUCAN 150MG GELU B/1";"135";"52";"0";"0";"0";"0";"0";"0";"103";"53";"65"
"2285366";"9100000374051";"DIFLUCAN 150MG GELU B/4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3319392";"3400933193928";"FELDENE 20MG DISP CP B/15";"0";"327";"0";"0";"0";"0";"0";"0";"121";"267";"275"
"3263697";"3400932636976";"FELDENE 20MG GELU B/15";"0";"148";"0";"0";"0";"0";"0";"0";"75";"140";"127"
"3062059";"3400930620595";"LINCOCINE 600MG AMP INJ 2ML /1";"62";"469";"0";"0";"0";"0";"0";"0";"98";"356";"297"
"3318984";"3400933189846";"MEDROL 16MG CP B/20";"169";"2061";"0";"0";"0";"0";"0";"0";"878";"1800";"1506"
"3097187";"3400930971871";"SOLUMEDROL SAB 40MG INJ AOV FL";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3155281";"3400931552819";"SOLUMEDROL 120MG INJ+SOLV F/1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8427841";"9100008427841";"SOLUMEDROL 40MG INJ+SOLV F/1";"0";"34275";"0";"0";"0";"0";"0";"0";"2778";"18451";"18451"
"2025286";"3000000464021";"ZITHROMAX 200MG 5ML F/15ML";"527";"271";"0";"0";"0";"0";"0";"0";"252";"90";"168"
"2025263";"9100009989061";"ZITHROMAX 200MG 5ML F/22,5ML";"0";"354";"0";"0";"0";"0";"0";"0";"244";"418";"378"
"2268853";"9100000383351";"ZITHROMAX 500MG CP B/3";"0";"212";"0";"0";"0";"0";"0";"0";"0";"272";"298"
