Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"1278351";"9100001278351";"AMLIBON 10MG CP/30 NF";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"513981";"9100000513981";"AMLIBON 5MG CP B/30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2272990";"3990000010574";"AMOXICIL SDZ 500 CP10X10   AFR";"67";"1099";"0";"0";"0";"0";"0";"0";"343";"366";"591"
"2021733";"9100000947121";"BANEOCIN PDR FL/10G";"14664";"4591";"0";"0";"0";"0";"0";"0";"1390";"3859";"3514"
"2016778";"9100000947221";"BANEOCIN POM T/20G";"7008";"6651";"0";"0";"0";"0";"0";"0";"2392";"5092";"4409"
"8196899";"9100000910441";"BIBLOC 5MG CP B/30";"0";"1635";"0";"0";"0";"0";"0";"0";"461";"1337";"1283"
"1679921";"9100001679921";"BINOZYT 200MG S.BUV 15ML  11ME";"198";"103";"0";"0";"0";"0";"0";"0";"47";"36";"63"
"2270011";"3000001204855";"BINOZYT 500MG CP B/3";"0";"420";"0";"0";"0";"0";"0";"0";"112";"383";"135"
"2025300";"9100001187881";"BIODROXIL GR 250MG/5ML SP/60ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2025317";"9100001187891";"BIODROXIL 500MG GELU B/12";"668";"100";"0";"0";"0";"0";"0";"0";"81";"125";"108"
"2254934";"9100000608561";"CURAM 0,5G PDR INJ B/1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2078"
"2254940";"9100000608571";"CURAM 1G PDR INJ B/1";"21709";"21855";"0";"0";"0";"0";"0";"0";"4363";"13485";"9318"
"8165746";"9100001048301";"CURAM 100MG ENF S.BUV FL/60ML";"16547";"9876";"0";"0";"0";"0";"0";"0";"2465";"5895";"3266"
"8165798";"3000000326497";"CURAM 100MG NOU S.BUV FL/30ML";"607";"7058";"0";"0";"0";"0";"0";"0";"2098";"4501";"3500"
"2290545";"9100000742461";"CURAM 1000/125MG SAC/12";"3236";"5332";"0";"0";"0";"0";"0";"0";"1396";"3306";"2918"
"2264393";"9100000303811";"CURAM 1000MG CP B/10";"2338";"9543";"0";"0";"0";"0";"0";"0";"3216";"6993";"6018"
"1177141";"9100001177141";"CURAM 500MG/62,5MG B/16";"0";"1440";"0";"0";"0";"0";"0";"0";"-1";"1275";"1164"
"2016206";"9100003411521";"EXODERIL CREME T/15G";"0";"301";"0";"0";"0";"0";"0";"0";"0";"346";"275"
"2018352";"3000001202127";"EXODERIL SOL FL/10ML";"0";"446";"0";"0";"0";"0";"0";"0";"115";"385";"204"
"2297381";"3990000010710";"FLUCESS 150MG GELULE B/1";"920";"306";"0";"0";"0";"0";"0";"0";"182";"438";"322"
"2297398";"3990000010727";"FLUCESS 50MG GELULE B/7";"87";"21";"0";"0";"0";"0";"0";"0";"4";"26";"26"
"711271";"9100000711271";"KETONAL S.INJ 100MG B/5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"711281";"9100000711281";"KETONAL SUPPO 100MG B/12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2011203";"3401020112037";"OSPAMOX 1000MG CP B/12";"0";"1670";"0";"0";"0";"0";"0";"0";"429";"1264";"1004"
"2299026";"9100000514021";"OSPAMOX 1000MG CP DISP B/12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2009181";"9100006463161";"OSPAMOX 250MG GRAN SUSP 60ML";"0";"990";"0";"0";"0";"0";"0";"0";"375";"689";"538"
"2009152";"9100006463041";"OSPAMOX 500MG CP B/12";"2463";"370";"0";"0";"0";"0";"0";"0";"247";"349";"342"
"3132162";"3400931321620";"OSPEN 1M CP B/12";"22080";"8993";"0";"0";"0";"0";"0";"0";"2592";"6625";"5050"
"939831";"9100000939831";"ROBESTAR 10MG CP B/30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8162618";"3000000343838";"ROBESTAR 5MG CP B/30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8150696";"9100008584281";"STARPEN 1000 CP B/12";"12598";"3340";"0";"0";"0";"0";"0";"0";"1350";"2065";"2238"
