Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"8099481";"9100000717741";"ALBENDAZOLE UBI 400MG CP 50X1";"0";"921";"0";"0";"0";"0";"0";"0";"0";"767";"671"
"8054194";"9100000597431";"AMOXICIL UBI 125MG PDR F/60ML";"380";"1067";"0";"0";"0";"0";"0";"0";"2194";"2544";"2878"
"8054231";"9100000597441";"AMOXICIL UBI 250MG PDR F/60ML";"0";"869";"0";"0";"0";"0";"0";"0";"2177";"3591";"3604"
"8054024";"9100000596861";"AMOXICIL UBI 500MG GEL BL10X12";"1834";"4756";"0";"0";"0";"0";"0";"0";"1517";"3968";"3552"
"8099469";"9100000717791";"ARTEMETHER UBI 20MG INJ B/10";"41";"7";"0";"0";"0";"0";"0";"0";"12";"11";"10"
"8099475";"9100000723181";"ARTEMETHER UBI 40MG INJ B/10";"23";"59";"0";"0";"0";"0";"0";"0";"19";"39";"25"
"8099452";"9100000717801";"ARTEMETHER UBI 80MG INJ B/10";"13";"140";"0";"0";"0";"0";"0";"0";"38";"125";"76"
"8054484";"9100000612221";"BENZYLPENI+SOLV 2,4MUI 10ML /1";"458";"628";"0";"0";"0";"0";"0";"0";"1412";"1594";"1886"
"8054515";"9100000593301";"CIPROFLO UBI 100MG INJ F/50ML";"329";"791";"0";"0";"0";"0";"0";"0";"231";"797";"816"
"8054171";"9100000599421";"CIPROFLO UBI 750MG CP 10X10";"0";"72";"0";"0";"0";"0";"0";"0";"58";"85";"78"
"1455211";"3000000460764";"CLOTRIMAZOLE UBI 1% CR T/20/12";"133";"15";"0";"0";"0";"0";"0";"0";"47";"121";"88"
"1927181";"3000000889237";"CLOTRIMAZOLE UBI 200MG CR/10";"251";"9";"0";"0";"0";"0";"0";"0";"4";"23";"23"
"8054248";"9100000597481";"COTRIMOX FORT UBI 960MG 10BL10";"79";"383";"0";"0";"0";"0";"0";"0";"146";"332";"294"
"8054254";"9100000604691";"COTRIMOX NORM UBI 480MG 10BL10";"429";"279";"0";"0";"0";"0";"0";"0";"368";"447";"424"
"8054260";"9100000597491";"COTRIMOX UBI 480/5ML SP F100ML";"935";"196";"0";"0";"0";"0";"0";"0";"409";"785";"822"
"1927191";"3000000889206";"DESLORATADINE UBI 0,5MG/ML /60";"658";"28";"0";"0";"0";"0";"0";"0";"15";"48";"48"
"8099506";"9100000717771";"DICLOFENAC UBI 50MG CP/10X10";"114";"41";"0";"0";"0";"0";"0";"0";"76";"42";"46"
"8099512";"9100000717781";"DICLOFENAC UBI 75MG INJ A10X10";"41";"50";"0";"0";"0";"0";"0";"0";"81";"38";"26"
"1927211";"3000000889213";"ESOMEPRAZOLE UBI 40MG CP B/100";"183";"27";"0";"0";"0";"0";"0";"0";"0";"41";"41"
"1927221";"3000000889220";"IBUPROFENE UBI 400MG CP B/20";"285";"247";"0";"0";"0";"0";"0";"0";"61";"222";"222"
"8054047";"9100000599431";"IBUPROFENE UBI 400MG CP/10X10";"1115";"90";"0";"0";"0";"0";"0";"0";"1512";"1204";"1471"
"8054142";"9100000597541";"KETOPROFENE UBI 100MG CP 10X10";"97";"23";"0";"0";"0";"0";"0";"0";"40";"35";"44"
"1455231";"3000000460801";"LOPERAMIDE UBI 2MG GEL B/100";"91";"34";"0";"0";"0";"0";"0";"0";"17";"42";"70"
"8054053";"9100000614101";"MEBENDAZOLE UBI 100MG CP B/60";"291";"16";"0";"0";"0";"0";"0";"0";"53";"26";"46"
"8054277";"9100000612251";"MEBENDAZOLE UBI 100MG SP /30ML";"180";"350";"0";"0";"0";"0";"0";"0";"179";"336";"328"
"8054521";"9100000612281";"METRONIDAZ UBI 125MG/5ML 100ML";"3343";"2009";"0";"0";"0";"0";"0";"0";"708";"1636";"1291"
"8054076";"9100000597501";"METRONIDAZ UBI 250MG CP 100X10";"0";"192";"0";"0";"0";"0";"0";"0";"0";"181";"187"
"8054509";"9100000612291";"METRONIDAZ UBI 500 S.INJ 100ML";"3952";"5099";"0";"0";"0";"0";"0";"0";"2048";"4811";"4824"
"1524231";"3000000460757";"NYSTATINE UBI 100000UI FL/30ML";"1152";"15";"0";"0";"0";"0";"0";"0";"273";"125";"141"
"8099498";"9100000717761";"OMEPRAZOLE UBI 20MG CP 10X7";"109";"0";"0";"0";"0";"0";"0";"0";"11";"45";"45"
"8054283";"9100000597531";"PARACETAMOL UBI 120MG/5ML 60ML";"3034";"34";"0";"0";"0";"0";"0";"0";"292";"11";"255"
"8054082";"9100000593341";"PARACETAMOL UBI 500MG CP100X10";"4184";"322";"0";"0";"0";"0";"0";"0";"294";"107";"285"
