TEDIS PHARMA CI;;;;;;STATISTIQUES LABORATOIRE PAYS
Votre partenaire Santé;;;;;;WASULUPHARMA/BIOFAR

CIP;Produit;PFHT;P. Cession HT;Stock;Mode Expéd;En CDE;Nov.-25;Oct.-25;Sep.-25;Aoû.-25;Juil.-25;Juin-25;Qté totale vendue;Date Péremption
8043167;BIOFAR CA + MG CPR EFF B/20;1353;1952;0;M;48;0;0;0;0;49;95;144;
8031773;BIOFAR CA + VIT D3 CP EFF B/20;1304;1891;0;M;48;0;0;0;0;57;39;96;
8043210;BIOFAR CHROME COMPLEX CPR EFF B/20;1516;2582;0;M;72;0;0;11;0;5;8;24;
8043172;BIOFAR COMPLEX VIT B CP EFF B/20 BF;1341;2909;71;M;0;49;0;0;0;6;18;73;
8031827;BIOFAR FER+ACIDE FOLIQUE CPR EFF B/20;1291;2227;7;M;0;0;17;0;0;0;0;17;
8031796;BIOFAR MAGNESIUM B6 B2  CPR EFF B/20;1304;2838;303;M;48;57;0;0;19;69;54;199;
8043144;BIOFAR MULTIVIT 12 FLAVO CPR EFF T/20;1304;1895;0;M;48;0;66;42;66;134;51;359;
8031804;BIOFAR MULTIVIT KIDS CP EFF B/20;1304;2247;0;M;0;0;6;9;6;3;0;24;
8010185;BIOFAR MULTIVIT MINRX CP EFF B/20;1616;2975;442;M;552;110;0;0;0;95;121;326;
8043150;BIOFAR POTASSIUM+MAGNESIUM CPR EFF B/20;1353;2313;66;M;0;3;8;16;3;0;0;30;
8031810;BIOFAR VIT ACE SELENIUM ZN  CPR EFF B/20;1579;3835;466;M;0;14;0;0;0;0;96;110;
8043195;BIOFAR VIT C 1000 CP EFF B/20;1447;2103;0;M;24;0;0;0;0;48;0;48;
8031767;BIOFAR VITAMINE C 500MG CPR EFF B/20;1341;1950;0;M;24;0;7;16;16;59;22;120;
8043204;BIOFAR ZINC ORGANIQUE CPR EFF B/20;1509;2194;0;M;120;0;0;0;0;24;0;24;
