fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;BKO;8054001;ACIDE ACETYLSAL UBI 500MG CPR 100 BL 10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8054001;ACIDE ACETYLSAL UBI 500MG CPR 100 BL 10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;7,81;304;0;38.0;17;47;26;30;78;47;26
PLANETPHARMA DISTRI UE HORS FR;BNK;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8200282;AIDE MARCHE FS914;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8200282;AIDE MARCHE FS914;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;7,31;1681;2176;527.0;479;723;737;636;747;502;513
PLANETPHARMA DISTRI UE HORS FR;BNK;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3000000639238;AMLORAV-AT 5MG/50MG CPR B/30;63,00;42;0;0.0;0;2;4;0;0;0;2
PLANETPHARMA DISTRI UE HORS FR;BNK;3000000639238;AMLORAV-AT 5MG/50MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8054194;AMOXICILLINE UBI 125MG PDRE SUSP F/60ML;9,04;2710;15048;1965.0;2717;4509;2126;1389;2960;1778;2112
PLANETPHARMA DISTRI UE HORS FR;BNK;8054194;AMOXICILLINE UBI 125MG PDRE SUSP F/60ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8054231;AMOXICILLINE UBI 250MG PDRE SUSP F/60ML;9,97;0;24948;2501.0;3800;5980;4112;2464;3555;1998;1855
PLANETPHARMA DISTRI UE HORS FR;BNK;8054231;AMOXICILLINE UBI 250MG PDRE SUSP F/60ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8054024;AMOXICILLINE UBI 500MG GEL 10 BL 12;6,61;12325;8400;3137.0;1313;3834;3326;3576;4613;4338;2886
PLANETPHARMA DISTRI UE HORS FR;BNK;8054024;AMOXICILLINE UBI 500MG GEL 10 BL 12;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8054461;AMPICILLINE UBI 1G PDRE SOL INJ 7ML B/50;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8054461;AMPICILLINE UBI 1G PDRE SOL INJ 7ML B/50;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8015923;AMPICILLINE UBI 1G PDRE SOL INJ B/1;3,26;2707;0;830.0;347;1317;2185;286;513;690;391
PLANETPHARMA DISTRI UE HORS FR;BNK;8015923;AMPICILLINE UBI 1G PDRE SOL INJ B/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8099469;ARTEMETHER UBI 20MG AMP INJ B/10;23,27;1059;0;45.0;21;0;0;230;53;35;18
PLANETPHARMA DISTRI UE HORS FR;BNK;8099469;ARTEMETHER UBI 20MG AMP INJ B/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8099475;ARTEMETHER UBI 40MG IM AMP INJ B/10;18,79;1060;0;56.0;20;19;70;239;58;36;19
PLANETPHARMA DISTRI UE HORS FR;BNK;8099475;ARTEMETHER UBI 40MG IM AMP INJ B/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8099452;ARTEMETHER UBI 80MG AMP INJ B/10;7,76;549;720;163.0;132;239;216;172;155;169;83
PLANETPHARMA DISTRI UE HORS FR;BNK;8099452;ARTEMETHER UBI 80MG AMP INJ B/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3664666000551;BANDE ADHESIV ELAST UBIPLAST 10CMX2,5M/1;0,00;0;0;10.0;0;26;8;5;10;11;7
PLANETPHARMA DISTRI UE HORS FR;BNK;3664666000551;BANDE ADHESIV ELAST UBIPLAST 10CMX2,5M/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3664666000544;BANDE ADHESIVE ELAST UBIPLAST 6CMX2,5M/1;8,35;0;48;5.0;0;0;0;0;2;10;34
PLANETPHARMA DISTRI UE HORS FR;BNK;3664666000544;BANDE ADHESIVE ELAST UBIPLAST 6CMX2,5M/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3664666000537;BANDE ADHESIVE ELAST UBIPLAST 8CMX2,5M/1;1,88;13;0;6.0;0;3;12;5;6;9;5
PLANETPHARMA DISTRI UE HORS FR;BNK;3664666000537;BANDE ADHESIVE ELAST UBIPLAST 8CMX2,5M/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;2265470;BANDE CREP LABELL CELLO 4MX10;7,63;2383;7920;1349.0;672;1552;1455;1840;1728;1568;1349
PLANETPHARMA DISTRI UE HORS FR;BNK;2265470;BANDE CREP LABELL CELLO 4MX10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204759;BANDE CREP LABELL CELLO 4MX15;8,25;4687;14400;2314.0;1697;4881;2411;2672;2150;2202;2064
PLANETPHARMA DISTRI UE HORS FR;BNK;8204759;BANDE CREP LABELL CELLO 4MX15;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204848;BANDE CREP LABELL CELLO 4MX30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8204848;BANDE CREP LABELL CELLO 4MX30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204831;BANDE CREP LABELL ETUI 4MX20;7,02;1560;4128;810.0;569;1123;937;1029;1040;762;804
PLANETPHARMA DISTRI UE HORS FR;BNK;8204831;BANDE CREP LABELL ETUI 4MX20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8025689;BANDE CREP.LABELL CELLO 4MX5CM;9,27;1256;600;200.0;71;180;243;379;204;208;206
PLANETPHARMA DISTRI UE HORS FR;BNK;8025689;BANDE CREP.LABELL CELLO 4MX5CM;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204736;BANDE CREP.LABELL CELLO 4MX7CM;7,70;2518;420;381.0;112;442;517;496;381;516;484
PLANETPHARMA DISTRI UE HORS FR;BNK;8204736;BANDE CREP.LABELL CELLO 4MX7CM;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204825;BANDE CREPE LABELL ETUI 4MX15;9,22;1510;11088;1366.0;1043;2775;1817;2084;1416;1178;1285
PLANETPHARMA DISTRI UE HORS FR;BNK;8204825;BANDE CREPE LABELL ETUI 4MX15;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204794;BANDE CREPE LABELL ETUI 4MX5;9,17;312;600;99.0;69;106;125;168;147;86;66
PLANETPHARMA DISTRI UE HORS FR;BNK;8204794;BANDE CREPE LABELL ETUI 4MX5;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204802;BANDE CREPE LABELL ETUI 4MX7;8,21;1743;0;212.0;131;145;379;269;222;293;337
PLANETPHARMA DISTRI UE HORS FR;BNK;8204802;BANDE CREPE LABELL ETUI 4MX7;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204819;BANDE CREPE LABELL.ETUI 4MX10;7,08;6556;9420;2257.0;1143;2742;2289;2854;3433;2515;2370
PLANETPHARMA DISTRI UE HORS FR;BNK;8204819;BANDE CREPE LABELL.ETUI 4MX10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204908;BANDE GAZE LABELL 3MX10CM P/10;7,68;2832;0;368.0;120;220;340;353;1005;423;380
PLANETPHARMA DISTRI UE HORS FR;BNK;8204908;BANDE GAZE LABELL 3MX10CM P/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8025695;BANDE GAZE LABELL 3MX7CM P/10;6,87;313;0;45.0;44;28;67;56;33;50;48
PLANETPHARMA DISTRI UE HORS FR;BNK;8025695;BANDE GAZE LABELL 3MX7CM P/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204713;BANDE GAZE LABELL 5MX10CM P/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8204713;BANDE GAZE LABELL 5MX10CM P/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204699;BANDE GAZE LABELL 5MX5CM PQ/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8204699;BANDE GAZE LABELL 5MX5CM PQ/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204707;BANDE GAZE LABELL 5MX7CM PQ/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8204707;BANDE GAZE LABELL 5MX7CM PQ/10;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8204854;BANDE NYL EXT LABELL CELLO 3MX5;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8204854;BANDE NYL EXT LABELL CELLO 3MX5;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8270779;BANDE OUATE SYNTH LABELL 2,7MX10CM;18,42;25;540;30.0;0;132;30;60;60;12;30
PLANETPHARMA DISTRI UE HORS FR;BNK;8270779;BANDE OUATE SYNTH LABELL 2,7MX10CM;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8255739;BANDE PLATREE LABELL 2MX10CM;11,13;561;0;50.0;13;48;62;42;39;26;44
PLANETPHARMA DISTRI UE HORS FR;BNK;8255739;BANDE PLATREE LABELL 2MX10CM;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8255745;BANDE PLATREE LABELL 2MX15CM;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8255745;BANDE PLATREE LABELL 2MX15CM;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8255751;BANDE PLATREE LABELL 2MX20CM;9,52;1801;0;189.0;50;285;168;31;580;113;189
PLANETPHARMA DISTRI UE HORS FR;BNK;8255751;BANDE PLATREE LABELL 2MX20CM;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8054484;BENZATHINE BENZYLPENI UBI 2,4MUI IM B/1;8,90;5760;11280;1915.0;1914;2896;2554;1930;1956;1559;1805
PLANETPHARMA DISTRI UE HORS FR;BNK;8054484;BENZATHINE BENZYLPENI UBI 2,4MUI IM B/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8222929;BEQUILLE REF FS 925 M/2;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8222929;BEQUILLE REF FS 925 M/2;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8245617;BICARBONATE SODIUM B/250G;6,50;1173;0;180.0;117;177;210;189;179;214;245
PLANETPHARMA DISTRI UE HORS FR;BNK;8245617;BICARBONATE SODIUM B/250G;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3000000135365;BIODRESS COMPRESS 20X20CM B/20 GM;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;3000000135365;BIODRESS COMPRESS 20X20CM B/20 GM;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8245586;BROSS DENT LABELL BABY;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8245586;BROSS DENT LABELL BABY;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8245468;BROSS DENT LABELL CRISTAL DURE;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8245468;BROSS DENT LABELL CRISTAL DURE;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8245474;BROSS DENT LABELL CRISTAL MED;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8245474;BROSS DENT LABELL CRISTAL MED;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8245480;BROSS DENT LABELL CRISTAL SPLE;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8245480;BROSS DENT LABELL CRISTAL SPLE;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8245439;BROSS DENT LABELL FUTUR DURE;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8245439;BROSS DENT LABELL FUTUR DURE;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8245445;BROSS DENT LABELL FUTUR MED;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8245445;BROSS DENT LABELL FUTUR MED;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8245451;BROSS DENT LABELL FUTUR SPLE;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8245451;BROSS DENT LABELL FUTUR SPLE;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8245592;BROSS DENT LABELL JUNIOR;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8245592;BROSS DENT LABELL JUNIOR;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8031773;CALCIUM VIT D3 BIOFAR CPR EFFV T/20;7,80;556;2160;348.0;397;493;366;360;481;353;311
PLANETPHARMA DISTRI UE HORS FR;BNK;8031773;CALCIUM VIT D3 BIOFAR CPR EFFV T/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8043167;CALCIUM+MAG BIOFAR CPR EFFV/20;8,38;1868;10944;1528.0;1198;2196;2089;1801;1713;1588;1450
PLANETPHARMA DISTRI UE HORS FR;BNK;8043167;CALCIUM+MAG BIOFAR CPR EFFV/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8283569;CANNE ANGLAISE + EMBOUT;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8283569;CANNE ANGLAISE + EMBOUT;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;8208786;CANNE DE MARCHE FS 920 L /1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;8208786;CANNE DE MARCHE FS 920 L /1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;635339;CANNE DE MARCHE PLIANTE ALU /1;5,86;21;0;3.0;3;2;4;0;7;4;3
