fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;BKO;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;3002152;ALDACTAZINE CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3260799;ALDACTONE 75MG CPR B/20;15,42;4762;0;308.0;2738;207;14;3454;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;3260799;ALDACTONE 75MG CPR B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3390467;DEBRIDAT 100MG CPR B/30;5,75;2633;0;458.0;276;501;407;514;552;388;459
PLANETPHARMA DISTRI UE HORS FR;BNK;3390467;DEBRIDAT 100MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3410483;DEBRIDAT 4,8MG/ML ENF GR SUSP BUV F125ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;3410483;DEBRIDAT 4,8MG/ML ENF GR SUSP BUV F125ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;2022158;DIFLUCAN 150MG GEL  B/1;11,42;211;240;39.0;28;106;32;37;93;15;24
PLANETPHARMA DISTRI UE HORS FR;BNK;2022158;DIFLUCAN 150MG GEL  B/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;2285366;DIFLUCAN 150MG GEL B/4;0,00;0;0;7.0;0;29;11;0;14;6;5
PLANETPHARMA DISTRI UE HORS FR;BNK;2285366;DIFLUCAN 150MG GEL B/4;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;5543774;FELDENE 10MG GEL B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;5543774;FELDENE 10MG GEL B/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3319392;FELDENE 20MG CPR DISP B/15;6,63;749;240;149.0;183;146;153;177;134;180;141
PLANETPHARMA DISTRI UE HORS FR;BNK;3319392;FELDENE 20MG CPR DISP B/15;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3263697;FELDENE 20MG GEL B/15;7,76;412;120;68.0;70;79;65;114;69;73;83
PLANETPHARMA DISTRI UE HORS FR;BNK;3263697;FELDENE 20MG GEL B/15;0,00;0;0;0.0;0;0;0;0;0;0;0
