fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;BKO;2299049;AMLIBON 10MG CPR B/30;0,00;0;768;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;2299049;AMLIBON 10MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3000000811801;AMLIBON 10MG CPR B/90;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;3000000811801;AMLIBON 10MG CPR B/90;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;2299055;AMLIBON 5MG CPR B/30;0,00;0;768;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;2299055;AMLIBON 5MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;8,60;786;2898;428.0;189;537;412;1115;567;317;310
TEDIS;BKO;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;8,60;786;2898;428.0;189;537;412;1115;567;317;310
TEDIS;BNK;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BNK;3990000010574;AMOXICILLINE SANDOZ 500MG CPR B/100;0,00;0;0;0.0;0;0;0;0;0;0;0
PIEX;BKO;3000000194119;ANDARAN 150MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PIEX;BNK;3000000194119;ANDARAN 150MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PIEX;BKO;3000000214206;ANDARAN 300MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PIEX;BNK;3000000214206;ANDARAN 300MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PIEX;BKO;3000000194072;ANDARAN 75MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PIEX;BNK;3000000194072;ANDARAN 75MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PIEX;BKO;3000000194157;ANDARAN HTCZ 300/12,5MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PIEX;BNK;3000000194157;ANDARAN HTCZ 300/12,5MG CPR B/30;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;2016778;BANEOCIN POMMADE DERMIQUE T/20G;9,27;5584;13272;2034.0;1328;2727;2034;2949;3326;2165;1765
PLANETPHARMA DISTRI UE HORS FR;BNK;2016778;BANEOCIN POMMADE DERMIQUE T/20G;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;2021733;BANEOCIN POUDRE USAGE EXTERNE F/10G;8,51;3385;10400;1620.0;1096;2496;1849;2140;2077;1539;1180
PLANETPHARMA DISTRI UE HORS FR;BNK;2021733;BANEOCIN POUDRE USAGE EXTERNE F/10G;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BKO;3000000153253;BIBLOC 10MG CPR PELL B/30;5,58;1047;0;187.0;115;161;185;166;229;200;197
