Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"3010269";"3400930102695";"BECOZYME AMP INJ 2ML B/12";"0";"0";"538";"1264";"778";"210";"0";"0";"30";"4061";"2501"
"3593992";"3400935939920";"BEPANTHEN 5% ONGUENT T/30G";"1387";"0";"202";"1197";"139";"199";"0";"0";"656";"1690";"1318"
"3594017";"3400935940179";"BEPANTHEN 5% POM T/100G";"7";"0";"1";"0";"0";"0";"0";"0";"2";"22";"101"
"2009494";"9100001561601";"CALCVITA CP EFF B/10";"200";"0";"10";"189";"7";"4";"0";"0";"49";"156";"105"
"3057271";"3400930572719";"LAROSCORBINE 1G CP EFF B/10";"2449";"0";"66";"990";"41";"30";"0";"0";"416";"1108";"889"
"3584846";"3400935848468";"LAROSCORBINE 500 SS CP CROQ/30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3064093";"3400930640937";"MADECASSOL 1% CREME T/10G";"272";"0";"0";"53";"2";"2";"0";"0";"26";"51";"13"
"3422730";"3400934227301";"POLARAMINE 2MG CP B/20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3247770";"3400932477708";"RENNIE CP B/48";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2009838";"9100008069801";"SARIDON CP B/10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"3482330";"3400934823305";"SUPRADYNE CITRON CP EFF T/10";"1394";"0";"0";"741";"0";"0";"0";"0";"505";"247";"62"
