Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"9937145";"3701129802007";"ATODERM CR DE DOUCHE 1L";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1721941";"3701129805343";"ATODERM CR FP/500ML";"284";"0";"0";"58";"4";"0";"0";"0";"27";"32";"47"
"9937180";"3401399371806";"ATODERM CR PARFUMEE FP/500ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9937346";"3401399373466";"ATODERM CR 500ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9937292";"3401399372926";"ATODERM GEL DOUCH FL POMP 1L";"82";"0";"0";"80";"0";"0";"0";"0";"3";"0";"0"
"2852084";"3401528520846";"ATODERM HLE DCHE 1L";"224";"0";"0";"36";"1";"0";"0";"0";"11";"0";"0"
"6096975";"3701129802076";"ATODERM INTENSIVE BAUME 500ML";"87";"0";"0";"14";"0";"0";"0";"0";"8";"0";"0"
"7493804";"3401574938046";"ATODERM LAIT 200ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9937369";"3401399373695";"ATODERM LT HYD PARFUM 200ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9937286";"3401399372865";"ATODERM MOUSSANT GEL T/500ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"7498316";"3401574983169";"ATODERM PAIN 150G";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"4065261";"3401340652619";"ATODERM PP BAUME PTS 500ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9937381";"3401399373817";"ATODERM PP BAUME T/200ML";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0"
"1721971";"3701129804957";"ATODERM STICK LEVRE 4GR";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"822601";"9100000822601";"CICABIO CR T/40ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"7564579";"3401575645790";"CREALINE H2O SOL NET FL/500ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2340401";"9100002340401";"CREALINE H2O SOL SS PARF 250ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"4593592";"3401345935922";"CREALINE LT DEMAQ PS 250ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9927709";"3401399277092";"SEBIUM GEL MOUSSANT 500ML";"0";"0";"0";"20";"0";"0";"0";"0";"0";"0";"0"
"5201878";"3401360147508";"SEBIUM GLOBAL T/30ML";"107";"0";"0";"25";"0";"0";"0";"0";"5";"0";"0"
"7228829";"3401572288297";"SEBIUM H20 FL/250ML";"23";"0";"0";"4";"0";"0";"0";"0";"2";"0";"0"
"8143213";"3401575645851";"SEBIUM H20 FL/500ML";"8";"0";"0";"8";"0";"0";"0";"0";"4";"0";"0"
"8168236";"3401381682361";"SEBIUM MAT CONTR 30ML";"19";"0";"0";"33";"0";"0";"0";"0";"19";"0";"0"
"2292656";"3401395461082";"SEBIUM PAIN 100G";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"6135362";"3401361353625";"SEBIUM PORE REFINER 30ML";"60";"0";"0";"41";"0";"0";"0";"0";"11";"0";"0"
