Code CIP;Code CIP 13;Libellé produit;Stock Total;Vente zone1;Vente zone2;Vente zone3;Vente zone4;Vente zone5;Vente zone6;Vente zone 7;Vente Mois en cours;Vente Moyenne 3 mois;Vente Moyenne 12 Mois
"1278351";"9100001278351";"AMLIBON 10MG CP/30 NF";"5115";"0";"66";"279";"62";"22";"0";"0";"218";"421";"365"
"1278361";"9100001278361";"AMLIBON 5MG CP/30 NF";"5592";"0";"15";"201";"33";"19";"0";"0";"159";"250";"241"
"2272990";"3990000010574";"AMOXICIL SDZ 500 CP10X10   AFR";"114";"0";"1";"0";"21";"262";"0";"0";"32";"359";"283"
"2021733";"9100000947121";"BANEOCIN PDR FL/10G";"5679";"0";"499";"1455";"232";"343";"0";"0";"1066";"2144";"1777"
"2016778";"9100000947221";"BANEOCIN POM T/20G";"13689";"0";"3477";"9205";"2538";"1003";"0";"0";"10822";"17766";"13460"
"2025323";"9100001187901";"BIODROXIL 1000MG CP B/12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2025300";"9100001187881";"BIODROXIL GR 250MG/5ML SP/60ML";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2025317";"9100001187891";"BIODROXIL 500MG GELU B/12";"48";"0";"5";"2";"0";"10";"0";"0";"1";"21";"19"
"799041";"3990000010611";"COLESTOP 10MG CP B/30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8103395";"3990000010604";"COLESTOP 20MG CP B/30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10"
"2254934";"9100000608561";"CURAM 0,5G PDR INJ B/1";"151";"0";"90";"160";"27";"6";"0";"0";"404";"96";"128"
"2254940";"9100000608571";"CURAM 1G PDR INJ B/1";"11";"0";"0";"846";"164";"5";"0";"0";"37";"499";"267"
"8165746";"9100001048301";"CURAM 100MG ENF S.BUV FL/60ML";"139";"0";"89";"644";"37";"32";"0";"0";"820";"795";"477"
"8165798";"3000000326497";"CURAM 100MG NOU S.BUV FL/30ML";"650";"0";"194";"379";"57";"58";"0";"0";"337";"733";"698"
"2290545";"9100000742461";"CURAM 1000/125MG SAC/12";"27207";"0";"325";"2795";"400";"288";"0";"0";"2006";"3334";"3022"
"2264393";"9100000303811";"CURAM 1000MG CP B/10";"1677";"0";"22";"535";"35";"63";"0";"0";"394";"652";"544"
"1177141";"9100001177141";"CURAM 500MG/62,5MG B/16";"456";"0";"26";"318";"10";"12";"0";"0";"200";"349";"352"
"799071";"3990000010628";"DIAGLIM 2MG CP B/30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2276999";"3000001202103";"DOLORA 200 ID 200MG B/20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"34"
"2016206";"9100003411521";"EXODERIL CREME T/15G";"249";"0";"15";"161";"6";"7";"0";"0";"88";"191";"150"
"2018352";"3000001202127";"EXODERIL SOL FL/10ML";"265";"0";"19";"112";"25";"13";"0";"0";"48";"146";"94"
"711251";"9100000711251";"KETONAL FORTE 100MG CP B/20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"769021";"9100000769021";"KETONAL GEL 2,5% T/50G";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
