codeArticle;libelleArticle;prix;stock;commande;venteMoisM0;venteMoisM1;venteMoisM2;venteMoisM3;venteMoyM3;venteMoyM12;
2265470;BAND CREP LABELL CELLO4MX10CM;426.0;1425;5400;904;1051;2065;1754;1340;1308;
2289625;PERFUS LABELL AIG 19G BT1;197.0;1280;17120;3553;6833;5707;4585;5364;3753;
2473546;LOPERAMIDE UBI GELU 2MG BT100;2624.0;644;640;98;223;223;265;181;224;
2473550;LIDOCAINE UBI 2PC SOL INJ F20ML;558.0;2119;3600;752;1382;1807;1439;1313;1131;
2473552;CLOTRIMAZ UBI 1PC CR TB 12X20G;5904.0;32;54;11;24;26;7;20;16;
2474725;ACID FUSID UBI 2PC CREM 12X15G;8567.0;188;10;6;15;7;1;9;25;
2475661;NYSTATIN UBI 100000 UI FL 30ML;656.0;1423;400;231;479;480;442;396;471;
2475726;COMPRES STE NT LABELL 5X5 BT20;374.0;73;40;11;41;33;14;28;17;
2475728;COMPRES STE NT LABELL 10X10 20;656.0;148;155;40;36;28;40;34;41;
2476035;PRESA PRESENTOIR PRESERV 12;3679.0;66;0;12;14;15;29;13;18;
2476768;UBI TEST GROSS BANDELETTE BT20;3345.0;39;0;1;3;9;1;4;5;
2476774;SOND FOLEY LABELL MIX CH14 V 1;538.0;117;90;30;21;73;46;41;36;
2478046;BAND PLATREE LABELL 2MX10CM;361.0;153;0;0;0;5;7;1;8;
2478048;CANNE ANGLAISE LABELL AD PAIRE;8436.0;65;120;22;29;44;49;31;33;
2478049;CANNE ANGLAISE LABELL EN PAIRE;15574.0;21;0;5;7;4;6;5;5;
2478050;CANNE MARCHE LABELL REGLAB ALU;6468.0;12;5;4;7;3;5;4;4;
2478051;CANNE MARCHE LABELL PLIANT ALU;6796.0;8;4;1;1;0;2;0;1;
2478052;COMPRES PUR LABELL 20X20 BT100;1076.0;104;2;0;10;17;15;9;7;
2478053;COTON CODEX HYDRO LABELL 500GR;2493.0;136;0;22;5;38;6;21;20;
2478054;JERSEY TUB LABELL ECRU 5MX10CM;1988.0;52;0;3;3;11;11;5;9;
2478055;JERSEY TUB LABELL ECRU 5MX15CM;2912.0;20;0;0;0;5;6;1;3;
2481041;SPARADRAP EXT UBIFIX 10CMX2M;643.0;250;60;30;48;42;70;40;50;
2482775;BAND ADH ELAS UBIPLAST 8CMX2M5;1686.0;67;0;5;3;3;0;3;3;
2482777;SER INS UBI ONE 100 1ML BT 120;5674.0;73;192;37;51;54;75;47;48;
2486106;CLOTRIMAZ UBI 200MG CPR VAG 30;7544.0;242;60;6;21;0;0;9;2;
2486108;DESLORAT UBI 0MG5 SOL BUV 60ML;1082.0;913;0;35;65;10;0;36;9;
2486109;ESOMEPRAZOLE UBI 40MG CPR B100;6068.0;248;0;3;12;1;0;5;1;
2486214;ACID FUSID UBI 2PC CREM TB 15G;715.0;989;0;156;311;364;208;277;90;
8007065;GANT CHIRUR STER LABEL T7,5/1;250.0;4670;6000;746;2081;2559;2473;1795;1979;
8010185;BIOFAR MULTVT MNRX CPR EFF B20;1666.0;15780;5040;3784;5949;6067;4973;5266;4829;
8025689;BAND CREP LABELL CELLO 4MX5CM;230.0;688;900;169;285;425;345;293;279;
8025695;BAND GAZ LABEL RAF 3MX 7CM B10;1227.0;770;480;99;240;351;264;230;204;
8031767;BIOFAR VIT C  500 CPR EFF  B20;1379.0;0;240;37;222;270;227;176;189;
8031773;BIOFAR CALCIUM D3 CPR EFF B20;1359.0;763;1200;234;455;345;408;344;390;
8031796;BIOFAR MAGNES B6B2 CPR EFF B20;1358.0;2189;1440;457;760;727;765;648;720;
8031804;BIOFAR MULTVIT KID CPR EFF B20;1358.0;87;288;121;135;121;88;125;111;
8031810;BIOFAR VIT ACE SEZN CPR EFF 20;1633.0;3682;2592;591;741;37;1855;456;1042;
8031827;BIOFAR FER A FOLIQ CPR EFF B20;1345.0;43;288;94;137;157;181;129;161;
8040252;TRANSFUSEUR LABELL SACH /1;249.0;172;1300;454;583;351;274;462;333;
