codeArticle;libelleArticle;prix;stock;commande;venteMoisM0;venteMoisM1;venteMoisM2;venteMoisM3;venteMoyM3;venteMoyM12;
2265470;BAND CREP LABELL CELLO4MX10CM;426.0;1717;5400;570;1051;2065;1754;1228;1280;
2289625;PERFUS LABELL AIG 19G BT1;197.0;1796;17120;2945;6833;5707;4585;5161;3702;
2473546;LOPERAMIDE UBI GELU 2MG BT100;2624.0;693;640;51;223;223;265;165;220;
2473550;LIDOCAINE UBI 2PC SOL INJ F20ML;558.0;2371;4080;467;1382;1807;1439;1218;1107;
2473552;CLOTRIMAZ UBI 1PC CR TB 12X20G;5904.0;36;54;3;24;26;7;17;15;
2474725;ACID FUSID UBI 2PC CREM 12X15G;8567.0;70;130;4;15;7;1;8;25;
2475661;NYSTATIN UBI 100000 UI FL 30ML;656.0;1501;400;134;479;480;442;364;462;
2475726;COMPRES STE NT LABELL 5X5 BT20;374.0;73;40;11;41;33;14;28;17;
2475728;COMPRES STE NT LABELL 10X10 20;656.0;168;155;20;36;28;40;28;39;
2476035;PRESA PRESENTOIR PRESERV 12;3679.0;74;0;5;14;15;29;11;18;
2476768;UBI TEST GROSS BANDELETTE BT20;3345.0;40;0;0;3;9;1;4;5;
2476774;SOND FOLEY LABELL MIX CH14 V 1;538.0;124;90;23;21;73;46;39;35;
2478046;BAND PLATREE LABELL 2MX10CM;361.0;153;0;0;0;5;7;1;8;
2478048;CANNE ANGLAISE LABELL AD PAIRE;8436.0;78;120;10;29;44;49;27;32;
2478049;CANNE ANGLAISE LABELL EN PAIRE;15574.0;16;5;5;7;4;6;5;5;
2478050;CANNE MARCHE LABELL REGLAB ALU;6468.0;14;5;1;7;3;5;3;3;
2478051;CANNE MARCHE LABELL PLIANT ALU;6796.0;8;4;1;1;0;2;0;1;
2478052;COMPRES PUR LABELL 20X20 BT100;1076.0;104;2;0;10;17;15;9;7;
2478053;COTON CODEX HYDRO LABELL 500GR;2493.0;150;0;23;5;38;6;22;20;
2478054;JERSEY TUB LABELL ECRU 5MX10CM;1988.0;52;0;3;3;11;11;5;9;
