codeArticle;libelleArticle;prix;stock;commande;venteMoisM0;venteMoisM1;venteMoisM2;venteMoisM3;venteMoyM3;venteMoyM12;
2009838;SARIDON CPR BT10;597.0;91;40;39;0;0;1;13;17;
2017542;VIBRA CPR 200MG BT8;4500.0;8;0;0;3;2;5;1;5;
2022158;DIFLUCAN GELU 150MG BT1;4133.0;10;510;0;33;122;112;51;64;
2025263;ZITHROMAX SUSP BUV 200MG 22ML5;3772.0;12;650;1;99;147;83;82;95;
2027204;AURIPAX GTT AURIC FL15ML;820.0;0;1100;0;112;340;201;150;104;
2027374;COLLUXID BAIN BOUCHE FL120ML;630.0;347;720;91;254;198;173;181;214;
2027440;DERMOSALIC LOT 0,05PC FL30ML;682.0;538;700;129;369;322;95;273;298;
2027457;DERMOSALIC POM 30G;1076.0;1227;1300;194;715;689;84;532;538;
2027463;DERMOSONE CREME TB 15G;649.0;502;300;103;384;0;136;162;241;
2027486;DERMOSONE NEO CREME TB15G;649.0;281;1150;88;360;280;183;242;222;
2027492;DERMOSONE NEO POM TB15G;649.0;67;1050;41;340;288;229;223;211;
2027500;DERMOSONE POM TB 15G;649.0;847;800;135;333;311;370;259;318;
2027581;ECOREX 1PC CREM DERM 30G;1397.0;2589;7400;784;2110;2448;2388;1780;1730;
2027598;ECOREX 1PC SOL PULV 30ML;1751.0;398;590;118;71;217;493;135;217;
2027606;ECOREX 1PC LAIT DERM FL30ML;1397.0;424;850;82;355;317;252;251;230;
2027612;ECOREX OV 150MG BT3;1751.0;213;500;43;203;151;140;132;132;
2028161;MUCOSOL SP AD FL200ML;1102.0;134;192;22;86;101;44;69;65;
2029077;SPORALIM LOTION FL30ML;853.0;6074;12500;1106;3539;3812;3904;2819;3111;
2029284;VAGILEN OV BT10;1148.0;116;162;10;53;56;42;39;47;
2029410;PRUREX CREM 10PC 40G;820.0;0;11000;0;1488;3292;2965;1593;1288;
2031424;CELEBREX GELU 100MG BT20;4342.0;447;640;80;251;225;208;185;202;
2031430;CELEBREX GELU 200MG BT10;4342.0;1050;480;107;347;296;254;250;299;
2032122;AMUCHINA 5PC FL250ML;899.0;85;48;6;53;31;34;30;33;
2032145;AMUSTIL 0,5G CREM TB30G;1325.0;190;250;27;63;94;74;61;67;
2032493;CAMYSTEN CREM TB30G;1496.0;18;100;0;2;3;0;1;2;
2033274;GLYSS SUP AD BT1;420.0;4218;2592;569;2075;1939;1887;1527;1657;
2033280;GLYSS SUP BB BT10;348.0;7243;3456;1032;3117;2425;2487;2191;2641;
2192251;XARELTO CPR 15MG BT 14;9183.0;750;486;72;210;240;248;174;244;
2192297;XARELTO CPR 20MG BT 14;9183.0;1915;1296;173;612;560;585;448;591;
2265292;ALLERGOSONE GTT BUV FL30ML;1797.0;245;400;46;98;201;119;115;119;
2268178;TILL SOL EXT FL200ML;892.0;30368;26400;7189;11471;17437;17613;12032;11404;
2472837;SOLFER FORTE GEL BT30;1312.0;120;400;30;126;167;117;107;88;
2472838;WELFIL CPR PELL 10MG BT4;1719.0;131;0;2;4;0;4;2;2;
2472839;WELFIL COMPRIMES PELLICULES 20MG BOITE DE 4;2394.0;42;0;0;3;2;0;1;5;
2473438;DIAPRIDE PLUS CPR 1/500MG BT30;1469.0;128;100;21;49;45;49;38;39;
2474142;AUROMOX PDR 250MG 31MG25 F60ML;2165.0;151;0;10;21;13;5;14;4;
2474143;AUROMOX PDR 100MG 12MG5 FL60ML;1804.0;5;20;0;4;0;8;1;4;
2474144;AUROMOX CPR 500MG 62MG5 BT14;2368.0;14;30;7;17;17;10;13;8;
2474549;ONE V KIT 1G/150MG/1G CPR BT 4;2821.0;237;0;32;112;44;51;62;30;
2474554;ALLESTENE CPR DISP 2MG BT20;1246.0;385;0;14;49;41;24;34;14;
2474557;ALLESTENE GTT SOL 0PC05 FL30ML;1246.0;433;0;8;72;83;31;54;27;
2475072;EXILAR CPR PEL 5MG BT30;1968.0;0;0;18;128;364;82;170;79;
2475326;MYCOXIB CPR 90MG BT30;2624.0;5;390;0;70;178;79;82;69;
2475330;PALSUNATE PR SUSP INJ 120MG 1;1115.0;2984;0;46;200;103;45;116;70;
2477286;AUROMOX DUO CPR 1G/125MG BT14;3024.0;7;190;34;121;97;47;84;54;
2478238;ROGE C SOIN INTIME TOILETTE FRAICHEUR 250ML;2499.0;37;48;4;19;9;26;10;14;
2478824;FLUOCARIL BIFLUOR BAIN B 300ML;2466.0;132;0;11;26;18;28;18;33;
2481100;GEL BAIN DCHE ALOE VERA  FL 1L;5877.0;46;0;0;0;3;1;1;1;
2482474;CLIVON HYGIENE INTIME FL 150ML;2040.0;111;0;2;7;5;5;4;5;
2482810;BACTOCLAV 250MG/62MG5 FL 100ML;1640.0;0;1152;0;0;1;0;0;52;
2485306;FLUB 100MG/5ML SUSP BUV FL30ML;984.0;2940;980;0;0;1;0;0;0;
2485721;RIVASON 20MG CPR BT 14;5248.0;0;768;0;0;0;0;0;0;
2486347;SUPRADYN CITRON CPR BT 10;1587.0;2537;0;198;44;0;0;80;20;
2486450;PREGASON 75MG GELU BT 30;1968.0;848;170;130;46;0;0;58;14;
2565947;ROGE C SAVON LAIT MIEL 3X250G+ 1 OFFERT;5346.0;64;468;25;138;81;123;81;75;
3000000210314;ALCOF C SP FL100ML;2066.0;37;720;133;661;265;195;353;204;
