codeArticle;libelleArticle;prix;stock;commande;venteMoisM0;venteMoisM1;venteMoisM2;venteMoisM3;venteMoyM3;venteMoyM12;
2022589;CATAFLAM CPR 50MG BT20;1863.0;1156;900;193;366;377;425;312;369;
2023927;CATAFLAM CPR 25MG BT20;931.0;1135;600;142;286;247;314;225;316;
2477021;CALSOURCE CAL CPR EFF 500MG 20;1168.0;3236;3780;830;1486;1555;1750;1290;1352;
2479845;DOXORUBICINE 10MG/5ML SOL INJ;3628.0;0;10;0;0;0;0;0;0;
2479941;DOLEX SOL INJ IM/IV 75MG 1ML 5;656.0;703;2690;520;676;868;816;688;589;
2480078;TAMOXIFENE NOV ACC 20MG CPR 30;1463.0;0;580;0;0;0;0;0;0;
2480259;GALVUSMET 50/850MG CPR PELL 30;4808.0;925;656;191;140;381;379;237;211;
2480260;GALVUSMET 50/500MG CPR PELL 30;4808.0;608;1264;272;537;447;479;418;369;
2792962;SIMBRINZA COLLYRE 10MG/ML PLUS2MG/ML FLACON 5ML;0.0;0;0;0;0;10;0;3;0;
3103019;SYNTOCINON 5U AMP 1ML BT3;695.0;0;2800;0;0;0;0;0;0;
3103545;TEGRETOL CPR 200MG BT50;1686.0;2915;2040;466;858;818;1348;714;965;
3132162;OSPEN CPR 1MILLION BT12;1378.0;1189;5040;1003;1652;1066;1591;1240;842;
3182800;OTRIVINE GTT 0,05PC F10ML;702.0;788;1860;244;750;656;383;550;509;
3189529;VOLTARENE CPR 25MG BT30;1305.0;60;110;0;6;49;34;18;10;
3221434;VOLTARENE SUP 100MG BT10;1601.0;263;132;61;111;123;86;98;106;
3235117;VOLTARENE CPR 50MG BT30;2598.0;678;480;111;229;188;203;176;239;
3246049;VOLTARENE CPR LP 100MG BT15;2912.0;465;1200;192;370;370;397;310;319;
3298431;TEGRETOL CPR LP 400MG BT30;3057.0;2421;672;951;637;2;234;530;1156;
3314874;TEGRETOL LP 200MG COMPRIME PEL;1699.0;1784;2869;457;1105;925;1063;829;961;
3359196;VOLTARENE CPR LP 75MG BT20;3044.0;1377;960;227;471;487;671;395;467;
3400956675944;ETOPOSIDE SAN 100MG INJ 5ML;4113.0;0;80;0;0;0;0;0;5;
3443005;COTAREG CPR  80MG/12MG5 BT28;7130.0;187;66;23;18;1;41;14;28;
3569025;TAREG CPR  80MG BT28;5799.0;34;205;19;47;24;50;30;37;
3569060;TAREG CPR 160MG BT28;8370.0;121;20;3;14;28;25;15;19;
3592320;COTAREG CPR 160MG/25MG  BT28;10476.0;139;42;14;42;34;20;30;31;
3912664;AZARGA 10MG/ML +5MG/ML COLLYRE;8462.0;536;0;97;173;157;194;142;163;
8012155;FLOTAC GEL 75MG BT20;3273.0;2376;4200;502;1058;956;1054;838;1215;
8083853;EXFORGE CPR PELL 5/160MG BT28;7544.0;175;122;41;55;54;65;50;65;
8083876;EXFORGE CPR PELL 10/160MG BT28;7544.0;509;792;164;333;274;314;257;270;
8093685;COARTEM CPR DISP 20/120MG BT12;984.0;577;960;245;504;362;428;370;272;
8093716;COARTEM CPR DISP 20/120MG BT6;564.0;697;660;206;118;286;297;203;200;
8305176;CROMAX 2PC COLLYRE FL 10ML;1240.0;2203;648;219;489;595;378;434;528;
8309116;BANEOCIN POM 20G;866.0;7425;56280;8650;12873;17377;13529;12966;9579;
8309122;BANEOCIN PDRE 10G;741.0;2208;2480;818;165;1764;1477;915;863;
8309145;BIODROXIL GELU 500MG BT12;2624.0;110;0;8;28;24;28;20;22;
8309205;EXODERIL CREM 15G;1568.0;136;504;103;148;156;150;135;117;
8309211;EXODERIL SOL FL10ML;1397.0;7;524;10;68;85;100;54;35;
8309234;OSPAMOX CPR 1000MG BT12;1181.0;2431;3000;659;1292;1326;1036;1092;1140;
8309240;OSPAMOX CPR 500MG BT12;656.0;159;720;107;233;219;193;186;166;
8309263;OSPAMOX SUSP 250MG FL60ML;564.0;6;3780;325;549;1296;650;723;535;
8309381;STARPEN CPR 1000MG BT12;1102.0;2647;0;70;147;16;0;77;168;
8338098;CURAM CPR 1000MG BT10;4100.0;1350;1400;348;642;614;465;534;561;
8339778;BINOZYT SUSP BUV 200MG FL15ML;2060.0;3;90;38;30;14;6;27;10;
8340445;OTRIVINE GTT 0PC1 FL10ML;899.0;3830;3000;605;1312;1514;1151;1143;1315;
8343863;FLUCESS GELU 150MG BT1;984.0;736;120;345;517;4;398;288;138;
8354223;BINOZYT CPR 500MG BT3;2624.0;809;0;78;115;92;42;95;40;
8381467;AMLIBON COMPRIME 5MG BT30;1837.0;345;384;130;184;165;189;159;163;
8381473;AMLIBON CPR 10MG BT30;2952.0;161;1152;174;357;267;273;266;241;
8385732;DICLOMAX LP GELU 75MG BT20;1791.0;78;90;12;13;38;32;21;27;
8386045;CURAM PDR INJ 0.5G IV BT1;918.0;391;80;16;5;0;0;7;16;
8386051;CURAM PDR INJ 1G IV BT1;1528.0;95;0;186;333;133;279;217;149;
8390615;AMOXICIL SAN CPR 500MG BT100 SANDOZ;3201.0;126;126;18;18;67;63;34;34;
8402471;GALVUS CPR 50MG BT28;4808.0;402;1200;159;301;262;285;240;265;
8407416;EXFORGE HCT CPR10/160/12MG5 28;10391.0;337;0;52;133;13;124;66;93;
8407422;EXFORGE HCT CPR5/160/25MG BT28;10391.0;2;60;1;12;20;10;11;10;
8407439;EXFORGE HCT CPR5/160/12MG5 B28;10390.0;35;100;12;30;36;25;26;23;
8407445;EXFORGE HCT CPR10/160/25MG B28;10390.0;265;380;74;133;79;165;95;118;
8416059;EXFORGE FCT CPR 5/80MG BT28;7544.0;164;200;56;113;96;91;88;84;
8423705;BIBLOC CPR 10MG BT30;1869.0;215;100;33;64;58;81;51;67;
8424774;CURAM SACH 1000/125MG BT12;1955.0;7352;5500;1366;2259;2095;2248;1906;2196;
8435594;BIBLOC CPR 5MG BT30;918.0;475;768;152;336;299;264;262;270;
8487792;GALVUSMET FCT CPR 50/1000MG 30;4808.0;2502;3000;621;1242;1447;1475;1103;1126;
8494668;COARTEM CPR 80/480MG BT6;1253.0;349;14400;2120;3212;4558;2457;3296;2246;
8518297;CURAM 100 PDR NOUR FL30ML;1220.0;527;2800;323;689;837;545;616;572;
8518305;CURAM 100 PDR ENF FL60ML;2165.0;121;2000;397;679;598;338;558;327;
8596297;CURAM CPR 500/62MG5 BT16;1574.0;685;375;183;340;221;217;248;229;
