fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;BEL;8031773;CALCIUM VIT D3 BIOFAR CPR EFFV T/20;2,07;469;0;226.0;122;284;235;230;228;363;288
PLANETPHARMA DISTRI UE HORS FR;DKR;8031773;CALCIUM VIT D3 BIOFAR CPR EFFV T/20;0,00;0;480;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;8031773;CALCIUM VIT D3 BIOFAR CPR EFFV T/20;1,67;146;0;87.0;33;95;72;162;81;104;111
PLANETPHARMA DISTRI UE HORS FR;LGA;8031773;CALCIUM VIT D3 BIOFAR CPR EFFV T/20;1,81;71;0;39.0;13;40;65;30;50;55;36
PLANETPHARMA DISTRI UE HORS FR;PIK;8031773;CALCIUM VIT D3 BIOFAR CPR EFFV T/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8043167;CALCIUM+MAG BIOFAR CPR EFFV/20;1,72;1995;0;1160.0;694;1391;1516;957;1570;1509;1251
PLANETPHARMA DISTRI UE HORS FR;DKR;8043167;CALCIUM+MAG BIOFAR CPR EFFV/20;12024,00;0;4008;0.0;0;0;0;0;0;1;0
PLANETPHARMA DISTRI UE HORS FR;KLK;8043167;CALCIUM+MAG BIOFAR CPR EFFV/20;2,27;1058;0;465.0;276;505;480;550;481;519;460
PLANETPHARMA DISTRI UE HORS FR;LGA;8043167;CALCIUM+MAG BIOFAR CPR EFFV/20;1,21;278;0;229.0;123;252;252;275;253;223;243
PLANETPHARMA DISTRI UE HORS FR;PIK;8043167;CALCIUM+MAG BIOFAR CPR EFFV/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8043210;CHROME COMPLEX BIOFAR CPR EFFV T/20;1,29;74;0;57.0;22;102;55;59;23;90;81
PLANETPHARMA DISTRI UE HORS FR;DKR;8043210;CHROME COMPLEX BIOFAR CPR EFFV T/20;0,00;0;288;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;8043210;CHROME COMPLEX BIOFAR CPR EFFV T/20;3,18;65;0;20.0;2;43;40;18;10;31;19
PLANETPHARMA DISTRI UE HORS FR;LGA;8043210;CHROME COMPLEX BIOFAR CPR EFFV T/20;3,75;10;0;2.0;1;13;0;0;0;2;7
PLANETPHARMA DISTRI UE HORS FR;PIK;8043210;CHROME COMPLEX BIOFAR CPR EFFV T/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8043173;COMPLEX VIT B BIOFAR CPR EFFV T/20;2,08;170;0;81.0;25;72;132;70;82;115;105
PLANETPHARMA DISTRI UE HORS FR;DKR;8043173;COMPLEX VIT B BIOFAR CPR EFFV T/20;2880,00;0;240;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;8043173;COMPLEX VIT B BIOFAR CPR EFFV T/20;3,00;43;0;14.0;12;14;12;15;18;18;24
PLANETPHARMA DISTRI UE HORS FR;LGA;8043173;COMPLEX VIT B BIOFAR CPR EFFV T/20;0,95;6;0;6.0;6;8;7;5;14;4;12
PLANETPHARMA DISTRI UE HORS FR;PIK;8043173;COMPLEX VIT B BIOFAR CPR EFFV T/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8031827;FER+AC FOLIQ BIOFAR CPR EFFV20;0,38;34;0;90.0;55;114;91;66;71;110;101
PLANETPHARMA DISTRI UE HORS FR;DKR;8031827;FER+AC FOLIQ BIOFAR CPR EFFV20;0,00;0;480;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;8031827;FER+AC FOLIQ BIOFAR CPR EFFV20;0,50;20;0;39.0;19;39;37;29;28;38;34
PLANETPHARMA DISTRI UE HORS FR;LGA;8031827;FER+AC FOLIQ BIOFAR CPR EFFV20;1,48;45;0;30.0;16;33;35;23;17;36;24
PLANETPHARMA DISTRI UE HORS FR;PIK;8031827;FER+AC FOLIQ BIOFAR CPR EFFV20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8031796;MAGNESIUM VIT B6 BIOFAR CPR EFFV T/20;3,06;1299;0;425.0;336;508;534;464;433;536;559
PLANETPHARMA DISTRI UE HORS FR;DKR;8031796;MAGNESIUM VIT B6 BIOFAR CPR EFFV T/20;0,00;0;0;0.0;0;1;0;0;0;0;2
PLANETPHARMA DISTRI UE HORS FR;KLK;8031796;MAGNESIUM VIT B6 BIOFAR CPR EFFV T/20;3,20;383;0;119.0;75;128;171;131;93;149;106
PLANETPHARMA DISTRI UE HORS FR;LGA;8031796;MAGNESIUM VIT B6 BIOFAR CPR EFFV T/20;3,58;239;0;66.0;27;62;110;65;69;54;118
PLANETPHARMA DISTRI UE HORS FR;PIK;8031796;MAGNESIUM VIT B6 BIOFAR CPR EFFV T/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8010185;MULTIVIT 12 MINRX BIOFAR CPR EFFV T/20;1,31;3831;0;2922.0;1820;3559;3808;2624;1412;4365;3559
PLANETPHARMA DISTRI UE HORS FR;DKR;8010185;MULTIVIT 12 MINRX BIOFAR CPR EFFV T/20;12982,15;0;14064;1.0;2;1;0;2;0;1;0
PLANETPHARMA DISTRI UE HORS FR;KLK;8010185;MULTIVIT 12 MINRX BIOFAR CPR EFFV T/20;1,29;1605;0;1239.0;781;1767;1895;1317;816;1566;1124
PLANETPHARMA DISTRI UE HORS FR;LGA;8010185;MULTIVIT 12 MINRX BIOFAR CPR EFFV T/20;1,80;946;0;526.0;232;518;824;529;419;586;616
PLANETPHARMA DISTRI UE HORS FR;PIK;8010185;MULTIVIT 12 MINRX BIOFAR CPR EFFV T/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8043144;MULTIVIT BIOFAR CPR EFFV T/20;2,62;1558;0;595.0;468;825;149;662;1378;845;540
PLANETPHARMA DISTRI UE HORS FR;DKR;8043144;MULTIVIT BIOFAR CPR EFFV T/20;0,00;0;0;0.0;0;1;0;1;0;0;1
PLANETPHARMA DISTRI UE HORS FR;KLK;8043144;MULTIVIT BIOFAR CPR EFFV T/20;2,63;795;0;302.0;216;451;135;535;378;360;266
PLANETPHARMA DISTRI UE HORS FR;LGA;8043144;MULTIVIT BIOFAR CPR EFFV T/20;4,18;568;0;135.0;58;126;147;257;158;161;119
PLANETPHARMA DISTRI UE HORS FR;PIK;8043144;MULTIVIT BIOFAR CPR EFFV T/20;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8031804;MULTIVIT KIDS BIOFAR CPR EFFV T/20;1,26;72;0;57.0;79;92;22;33;87;96;46
PLANETPHARMA DISTRI UE HORS FR;DKR;8031804;MULTIVIT KIDS BIOFAR CPR EFFV T/20;0,00;0;240;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;8031804;MULTIVIT KIDS BIOFAR CPR EFFV T/20;2,07;52;0;25.0;33;102;13;46;22;23;11
