fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;BEL;3664666000551;BANDE ADHESIV ELAST UBIPLAST 10CMX2,5M/1;0,00;0;0;10.0;0;2;15;13;9;12;14
PLANETPHARMA DISTRI UE HORS FR;DKR;3664666000551;BANDE ADHESIV ELAST UBIPLAST 10CMX2,5M/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;3664666000551;BANDE ADHESIV ELAST UBIPLAST 10CMX2,5M/1;0,00;0;0;2.0;0;0;0;0;20;0;0
PLANETPHARMA DISTRI UE HORS FR;LGA;3664666000551;BANDE ADHESIV ELAST UBIPLAST 10CMX2,5M/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;PIK;3664666000551;BANDE ADHESIV ELAST UBIPLAST 10CMX2,5M/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;3664666000544;BANDE ADHESIVE ELAST UBIPLAST 6CMX2,5M/1;0,00;0;0;27.0;0;0;26;33;49;19;14
PLANETPHARMA DISTRI UE HORS FR;DKR;3664666000544;BANDE ADHESIVE ELAST UBIPLAST 6CMX2,5M/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;3664666000544;BANDE ADHESIVE ELAST UBIPLAST 6CMX2,5M/1;0,00;0;0;2.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;LGA;3664666000544;BANDE ADHESIVE ELAST UBIPLAST 6CMX2,5M/1;0,00;0;0;9.0;0;4;12;32;15;38;0
PLANETPHARMA DISTRI UE HORS FR;PIK;3664666000544;BANDE ADHESIVE ELAST UBIPLAST 6CMX2,5M/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;3664666000537;BANDE ADHESIVE ELAST UBIPLAST 8CMX2,5M/1;0,00;0;0;21.0;0;2;26;30;22;17;40
PLANETPHARMA DISTRI UE HORS FR;DKR;3664666000537;BANDE ADHESIVE ELAST UBIPLAST 8CMX2,5M/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;3664666000537;BANDE ADHESIVE ELAST UBIPLAST 8CMX2,5M/1;0,00;0;0;1.0;0;0;0;0;1;0;0
PLANETPHARMA DISTRI UE HORS FR;LGA;3664666000537;BANDE ADHESIVE ELAST UBIPLAST 8CMX2,5M/1;0,00;0;0;1.0;0;0;2;0;3;3;0
PLANETPHARMA DISTRI UE HORS FR;PIK;3664666000537;BANDE ADHESIVE ELAST UBIPLAST 8CMX2,5M/1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;2265470;BANDE CREP LABELL CELLO 4MX10;1,84;2568;0;1395.0;1005;2042;644;2214;1591;1701;1835
PLANETPHARMA DISTRI UE HORS FR;DKR;2265470;BANDE CREP LABELL CELLO 4MX10;0,00;0;5100;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;2265470;BANDE CREP LABELL CELLO 4MX10;3,05;2466;0;808.0;636;1182;810;1209;1347;998;861
PLANETPHARMA DISTRI UE HORS FR;LGA;2265470;BANDE CREP LABELL CELLO 4MX10;2,60;1042;0;401.0;250;663;321;558;657;659;355
PLANETPHARMA DISTRI UE HORS FR;PIK;2265470;BANDE CREP LABELL CELLO 4MX10;0,00;0;0;0.0;0;0;0;0;0;0;0
