fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;BEL;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;1,65;107;0;64.0;55;85;82;46;45;39;75
PLANETPHARMA DISTRI UE HORS FR;DKR;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;0,00;0;240;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;2,19;85;0;38.0;18;44;54;40;63;35;23
PLANETPHARMA DISTRI UE HORS FR;LGA;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;2,30;32;0;13.0;9;18;20;25;14;19;7
PLANETPHARMA DISTRI UE HORS FR;PIK;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;0,00;0;0;530.0;134;638;1279;489;451;298;535
PLANETPHARMA DISTRI UE HORS FR;DKR;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;96768,00;0;8064;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;0,01;1;0;167.0;117;92;309;249;199;129;160
PLANETPHARMA DISTRI UE HORS FR;LGA;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;0,94;93;0;99.0;40;123;145;60;83;83;81
PLANETPHARMA DISTRI UE HORS FR;PIK;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8054194;AMOXICILLINE UBI 125MG PDRE SUSP F/60ML;1,45;2733;0;1884.0;972;1305;2223;1268;1417;1361;1404
