fournisseur;etcoda;ean;produit;nb mois stock;stock;cde en cours;moy. ventes;vente mois;M -1;M -2;M -3;M -4;M -5;M -6
PLANETPHARMA DISTRI UE HORS FR;BEL;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;1,78;115;0;64.0;47;85;82;46;45;39;75
PLANETPHARMA DISTRI UE HORS FR;DKR;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;0,00;0;240;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;2,42;94;0;38.0;19;44;54;40;63;35;23
PLANETPHARMA DISTRI UE HORS FR;LGA;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;2,51;35;0;13.0;6;18;20;25;14;19;7
PLANETPHARMA DISTRI UE HORS FR;PIK;3000000460771;ACIDE FUSIDIQUE UBI 2% CR T/15G B/12;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;0,16;85;0;530.0;49;638;1279;489;451;298;535
PLANETPHARMA DISTRI UE HORS FR;DKR;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;96768,00;0;8064;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;0,29;48;0;167.0;70;92;309;249;199;129;160
PLANETPHARMA DISTRI UE HORS FR;LGA;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;1,08;107;0;99.0;26;123;145;60;83;83;81
PLANETPHARMA DISTRI UE HORS FR;PIK;8099481;ALBENDAZOLE UBI 400MG CPR 50BL1;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8054194;AMOXICILLINE UBI 125MG PDRE SUSP F/60ML;0,50;946;0;1884.0;779;1305;2223;1268;1417;1361;1404
PLANETPHARMA DISTRI UE HORS FR;DKR;8054194;AMOXICILLINE UBI 125MG PDRE SUSP F/60ML;0,00;14256;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;KLK;8054194;AMOXICILLINE UBI 125MG PDRE SUSP F/60ML;0,68;2143;0;3141.0;1013;2692;6464;2995;2887;2121;2055
PLANETPHARMA DISTRI UE HORS FR;LGA;8054194;AMOXICILLINE UBI 125MG PDRE SUSP F/60ML;3,22;3131;0;971.0;783;1224;1659;992;503;489;452
PLANETPHARMA DISTRI UE HORS FR;PIK;8054194;AMOXICILLINE UBI 125MG PDRE SUSP F/60ML;0,00;0;0;0.0;0;0;0;0;0;0;0
PLANETPHARMA DISTRI UE HORS FR;BEL;8054231;AMOXICILLINE UBI 250MG PDRE SUSP F/60ML;2,15;4147;0;1928.0;1294;2719;3002;1700;1894;1871;2042
PLANETPHARMA DISTRI UE HORS FR;DKR;8054231;AMOXICILLINE UBI 250MG PDRE SUSP F/60ML;285120,00;0;23760;0.0;0;0;0;0;0;0;0
