codeArticle;libelleArticle;prix;stock;commande;venteMoisM0;venteMoisM1;venteMoisM2;venteMoisM3;venteMoyM3;venteMoyM12;
2472830;PROSTALEN 10MG CPR BT30;3936.0;1076;500;32;463;373;383;289;334;
2472834;VERZOL SUSP BUV BT20 SACH10ML;9183.0;280;60;54;65;87;56;68;62;
2475721;CARDIOVALAM H CPR BT30;6560.0;2093;500;31;513;524;468;356;455;
2477205;CARBOSOL COLLY 0PC5 10ML;787.0;342;300;10;86;105;57;67;75;
2478880;CLOMILEN CPR 50MG BT10;997.0;124;0;3;35;23;14;20;14;
2478882;FLUOXINE CPR 750MG BT10;1480.0;91;0;0;13;21;14;11;17;
2479144;FLUCAZOL 200 STICKPACK BT20;6166.0;0;100;0;0;0;0;0;0;
2481131;FLUCAZOL 150 STICK PACK BT 20;4985.0;0;200;0;0;0;0;0;2;
2481132;IXINE 200MG CPR BT 10;1771.0;2577;120;10;271;139;0;140;239;
2481134;IXINE 40MG FL 40ML;1312.0;205;202;3;25;63;84;30;39;
2481135;IXINE 100MG FL 40ML;1640.0;761;0;7;39;97;97;47;54;
2484553;PREGABANEURINE 75MG GELU BT 30;3674.0;137;250;0;26;24;21;16;23;
2485605;FLUOXINE T 500MG/600MG CPR B10;1190.0;413;0;21;23;35;5;26;7;
8313307;MALOXINE QT CP 50X3;15743.0;74;200;6;85;71;78;54;48;
8313342;VERZOL CPR 400MG BT1;459.0;18119;5000;2225;5880;4717;4676;4274;5130;
8313359;VERZOL 400MG SUSP BUV BT1;459.0;15587;6000;1982;5301;4598;3714;3960;4292;
8313365;TINAZOL CPR 500MG BT4;597.0;1256;1500;68;583;860;457;503;493;
8321471;MALOXINE CPR BLIST3;285.0;112;0;0;433;427;137;286;246;
8324564;DOXY CPR 200MG BT8;1115.0;11869;9050;1029;6001;5071;4304;4033;4638;
8330079;MICOZAL CREM DERM 2PC TB15G;840.0;1221;1600;144;752;618;550;504;521;
8334189;FLOXSOL COLLY FL5ML;531.0;2970;800;74;568;589;200;410;421;
8334195;CROMSOL COLLY FL5ML;531.0;3645;1200;92;935;967;356;664;729;
8334203;TIMOSOL COLLY FL5ML;531.0;2244;1200;102;834;1035;581;657;578;
8337590;FERCEFOL CPR 30MG        BT30;833.0;1953;3500;394;1468;1172;1265;1011;1424;
8337609;FERCEFOL SUSP         FL150ML;912.0;2749;13500;1996;6690;5107;3614;4597;4658;
8353809;METRONID QT SUSP 125MG 100ML;531.0;13689;0;626;3634;2081;2413;2113;3094;
8353991;GENTASOL COLLY 5ML BT1;558.0;0;14400;0;4715;7785;1506;4166;2045;
8354022;METRONID QT CP 500MG BL10;209.0;1204;100;115;1104;1196;1219;805;982;
8362814;METRONID QT CPR 500MG BL10X50;10495.0;2528;600;139;609;612;644;453;548;
8364173;FEBRILEX+ SP 150ML;794.0;2297;3900;1282;4202;1745;1634;2409;1805;
8366700;CARDIURINE CPR BT30;1961.0;2673;2120;218;977;798;874;664;855;
8366717;CLOFAINS CPR BT10;459.0;1373;1500;99;1404;179;885;560;854;
8367438;FLUOXINE CPR 500MG BT10;1115.0;1116;1600;114;421;572;435;369;385;
8371061;FLUCAZOL GELU 100MG BT10;1227.0;4317;4000;315;1554;1528;1904;1132;1377;
8371078;FLUCAZOL PDR 50MG/5ML FL60ML;1227.0;4615;5400;398;2023;2241;1836;1554;1731;
8400503;NEOMDEXSOL SOL OPHT FL 5 ML;531.0;3024;0;80;679;624;392;461;555;
8400526;DIFENASOL SOL OPHT FL 5 ML;531.0;844;5000;367;1900;1380;954;1215;842;
8405854;ANTALGEX T GELU BT20;938.0;25017;32000;2783;13050;14048;9289;9960;10004;
8407698;FEBRILEX CPR 50X4;10003.0;965;1800;151;778;855;479;594;501;
8408120;FLEXDOL CPR BT10;938.0;1630;500;48;461;417;461;308;424;
8418331;GASTRICID CPR 50 BLISTERS DE 4;15087.0;332;0;8;51;72;47;43;58;
8514106;FEBRILEX J SP 125MG/1MG F150ML;813.0;2013;20200;1207;7006;6272;8086;4828;4438;
8616309;EXXIB CPR 200MG BT10;1312.0;3448;4500;469;2154;1637;1466;1420;1430;
